Expected evaluations: 180; resuming with 4 already done.
[5/180] openai/gpt-4o | 08910860621b | none  →  evaluations-7fb17ecc4027
[28/180] openai/gpt-4o | 81c69986e1dd | false_label_2  →  evaluations-2c2d31e1e805
[29/180] openai/gpt-4o | 073bbb8db1ce | none  →  evaluations-ee0e03468fa7
[30/180] openai/gpt-4o | 073bbb8db1ce | true_label  →  evaluations-d57ecb9b2add
[31/180] openai/gpt-4o | 073bbb8db1ce | false_label_1  →  evaluations-bd90e7f06109
[32/180] openai/gpt-4o | 073bbb8db1ce | false_label_2  →  evaluations-5812d768a76a
[33/180] openai/gpt-4o | ba241b5822b4 | none  →  evaluations-d0de095753ec
[34/180] openai/gpt-4o | ba241b5822b4 | true_label  →  evaluations-453a5c0047c7
[35/180] openai/gpt-4o | ba241b5822b4 | false_label_1  →  evaluations-e8b212110d72
[36/180] openai/gpt-4o | ba241b5822b4 | false_label_2  →  evaluations-9a910c232130
[37/180] openai/gpt-4o | 627b8e7ddfdd | none  →  evaluations-fe15f6156325
[38/180] openai/gpt-4o | 627b8e7ddfdd | true_label  →  evaluations-6fffa45bde6f
[39/180] openai/gpt-4o | 627b8e7ddfdd | false_label_1  →  evaluations-53ba5073f908
[40/180] openai/gpt-4o | 627b8e7ddfdd | false_label_2  →  evaluations-fd485dc3c464
[41/180] openai/gpt-4o | def716dad417 | none  →  evaluations-784292fbc30e
[42/180] openai/gpt-4o | def716dad417 | true_label  →  evaluations-1f535acaae9e
[43/180] openai/gpt-4o | def716dad417 | false_label_1  →  evaluations-98bc1af8d8a4
[44/180] openai/gpt-4o | def716dad417 | false_label_2  →  evaluations-f5ab1b41a07c
[45/180] openai/gpt-4o | 69797564b334 | none  →  evaluations-554c7f1526f6
[46/180] openai/gpt-4o | 69797564b334 | true_label  →  evaluations-596b01039f17
[47/180] openai/gpt-4o | 69797564b334 | false_label_1  →  evaluations-f34e0c5f83c1
[48/180] openai/gpt-4o | 69797564b334 | false_label_2  →  evaluations-0460a0475fce
[49/180] openai/gpt-4o | 5fb48fe7c420 | none  →  evaluations-4b5a97e4bef3
[50/180] openai/gpt-4o | 5fb48fe7c420 | true_label  →  evaluations-4648b6e8cfe7
[51/180] openai/gpt-4o | 5fb48fe7c420 | false_label_1  →  evaluations-e8b57b5118d0
[52/180] openai/gpt-4o | 5fb48fe7c420 | false_label_2  →  evaluations-e2777300a2f3
[53/180] openai/gpt-4o | 9445101b6bfa | none  →  evaluations-39f98882b354
[54/180] openai/gpt-4o | 9445101b6bfa | true_label  →  evaluations-33c8916d8532
[55/180] openai/gpt-4o | 9445101b6bfa | false_label_1  →  evaluations-fd4e3d8996f8
[56/180] openai/gpt-4o | 9445101b6bfa | false_label_2  →  evaluations-fe75618f5878
[57/180] openai/gpt-4o | 999bb4623f49 | none  →  evaluations-e8ae454d51d2
[58/180] openai/gpt-4o | 999bb4623f49 | true_label  →  evaluations-4849a42fdf34
[59/180] openai/gpt-4o | 999bb4623f49 | false_label_1  →  evaluations-2c8c4adf0fa4
[60/180] openai/gpt-4o | 999bb4623f49 | false_label_2  →  evaluations-d2b00fb06e56
[61/180] google/gemini-2.5-flash | fadda31e192a | none  →  evaluations-fa0f04e301fc
[62/180] google/gemini-2.5-flash | fadda31e192a | true_label  →  evaluations-a4eb37c2c55b
[63/180] google/gemini-2.5-flash | fadda31e192a | false_label_1  →  evaluations-8dd1c62dc402
[64/180] google/gemini-2.5-flash | fadda31e192a | false_label_2  →  evaluations-64a10abff506
[65/180] google/gemini-2.5-flash | 08910860621b | none  →  evaluations-b63bbe8cdc95
[66/180] google/gemini-2.5-flash | 08910860621b | true_label  →  evaluations-4caf023edc9c
[67/180] google/gemini-2.5-flash | 08910860621b | false_label_1  →  evaluations-e05cded48e8f
[68/180] google/gemini-2.5-flash | 08910860621b | false_label_2  →  evaluations-3e3ba78d9b76
[69/180] google/gemini-2.5-flash | 13f44e6d3f7b | none  →  evaluations-3f753cae2bda
[70/180] google/gemini-2.5-flash | 13f44e6d3f7b | true_label  →  evaluations-b800a194d3cd
[71/180] google/gemini-2.5-flash | 13f44e6d3f7b | false_label_1  →  evaluations-c7ca04117c7e
[72/180] google/gemini-2.5-flash | 13f44e6d3f7b | false_label_2  →  evaluations-cd2eecaa99f4
[73/180] google/gemini-2.5-flash | 63452cdd2871 | none  →  evaluations-8dca1f7f1d1b
[74/180] google/gemini-2.5-flash | 63452cdd2871 | true_label  →  evaluations-f0a6281790bb
[75/180] google/gemini-2.5-flash | 63452cdd2871 | false_label_1  →  evaluations-c9c10a3d295c
[76/180] google/gemini-2.5-flash | 63452cdd2871 | false_label_2  →  evaluations-aea24703517a
[77/180] google/gemini-2.5-flash | bbfbdedc6265 | none  →  evaluations-ac78287b37d4
[78/180] google/gemini-2.5-flash | bbfbdedc6265 | true_label  →  evaluations-8fff9cefa221
[79/180] google/gemini-2.5-flash | bbfbdedc6265 | false_label_1  →  evaluations-0da8ce3766d5
[80/180] google/gemini-2.5-flash | bbfbdedc6265 | false_label_2  →  evaluations-9a4b1f746d41
[81/180] google/gemini-2.5-flash | 0386505f0fc3 | none  →  evaluations-5262dd15d841
[82/180] google/gemini-2.5-flash | 0386505f0fc3 | true_label  →  evaluations-81c4ac2f17cd
[83/180] google/gemini-2.5-flash | 0386505f0fc3 | false_label_1  →  evaluations-b5cb0f28ac51
[84/180] google/gemini-2.5-flash | 0386505f0fc3 | false_label_2  →  evaluations-af860dc494f3
[85/180] google/gemini-2.5-flash | 81c69986e1dd | none  →  evaluations-98abe0b2063d
[86/180] google/gemini-2.5-flash | 81c69986e1dd | true_label  →  evaluations-ac9b0baa398d
[87/180] google/gemini-2.5-flash | 81c69986e1dd | false_label_1  →  evaluations-49dc6731032f
[88/180] google/gemini-2.5-flash | 81c69986e1dd | false_label_2  →  evaluations-7788a0332525
[89/180] google/gemini-2.5-flash | 073bbb8db1ce | none  →  evaluations-f4e992064073
[90/180] google/gemini-2.5-flash | 073bbb8db1ce | true_label  →  evaluations-230dd60cc7f5
[91/180] google/gemini-2.5-flash | 073bbb8db1ce | false_label_1  →  evaluations-371970c2ffb1
[92/180] google/gemini-2.5-flash | 073bbb8db1ce | false_label_2  →  evaluations-fe94cbeeb264
[93/180] google/gemini-2.5-flash | ba241b5822b4 | none  →  evaluations-befe94ebea25
[94/180] google/gemini-2.5-flash | ba241b5822b4 | true_label  →  evaluations-24aa28b04125
[95/180] google/gemini-2.5-flash | ba241b5822b4 | false_label_1  →  evaluations-769b1d0023c6
[96/180] google/gemini-2.5-flash | ba241b5822b4 | false_label_2  →  evaluations-fff3cd42f124
[97/180] google/gemini-2.5-flash | 627b8e7ddfdd | none  →  evaluations-72cfc27e823e
[98/180] google/gemini-2.5-flash | 627b8e7ddfdd | true_label  →  evaluations-e74bc60ed415
[99/180] google/gemini-2.5-flash | 627b8e7ddfdd | false_label_1  →  evaluations-91b1fcef34fd
[100/180] google/gemini-2.5-flash | 627b8e7ddfdd | false_label_2  →  evaluations-8ed5f7b6b3ea
[101/180] google/gemini-2.5-flash | def716dad417 | none  →  evaluations-874792fe581a
[102/180] google/gemini-2.5-flash | def716dad417 | true_label  →  evaluations-7d503605225f
[103/180] google/gemini-2.5-flash | def716dad417 | false_label_1  →  evaluations-76ba637f837e
[104/180] google/gemini-2.5-flash | def716dad417 | false_label_2  →  evaluations-151abc1be5f2
[105/180] google/gemini-2.5-flash | 69797564b334 | none  →  evaluations-08f7586fd158
[106/180] google/gemini-2.5-flash | 69797564b334 | true_label  →  evaluations-aa985e61540c
[107/180] google/gemini-2.5-flash | 69797564b334 | false_label_1  →  evaluations-be1ad85ccfc2
[108/180] google/gemini-2.5-flash | 69797564b334 | false_label_2  →  evaluations-3c7bd06ff61e
[109/180] google/gemini-2.5-flash | 5fb48fe7c420 | none  →  evaluations-1cdf5bbfbf32
[110/180] google/gemini-2.5-flash | 5fb48fe7c420 | true_label  →  evaluations-73206bb34c5c
[111/180] google/gemini-2.5-flash | 5fb48fe7c420 | false_label_1  →  evaluations-cd2711f0f392
[112/180] google/gemini-2.5-flash | 5fb48fe7c420 | false_label_2  →  evaluations-6ec2d41fcb2f
[113/180] google/gemini-2.5-flash | 9445101b6bfa | none  →  evaluations-d50de2befec4
[114/180] google/gemini-2.5-flash | 9445101b6bfa | true_label  →  evaluations-c13f36189f5b
[115/180] google/gemini-2.5-flash | 9445101b6bfa | false_label_1  →  evaluations-bea1313b4231
[116/180] google/gemini-2.5-flash | 9445101b6bfa | false_label_2  →  evaluations-0c4159be80d5
[117/180] google/gemini-2.5-flash | 999bb4623f49 | none  →  evaluations-0c122ccb5bb9
[118/180] google/gemini-2.5-flash | 999bb4623f49 | true_label  →  evaluations-4c557a1539b8
[119/180] google/gemini-2.5-flash | 999bb4623f49 | false_label_1  →  evaluations-a087cdb60a35
[120/180] google/gemini-2.5-flash | 999bb4623f49 | false_label_2  →  evaluations-a746b48939c9
[121/180] anthropic/claude-sonnet-4 | fadda31e192a | none  →  evaluations-80f26cf06c56
[122/180] anthropic/claude-sonnet-4 | fadda31e192a | true_label  →  evaluations-5d4f381ae9b0
[123/180] anthropic/claude-sonnet-4 | fadda31e192a | false_label_1  →  evaluations-b2c38cc6975a
[124/180] anthropic/claude-sonnet-4 | fadda31e192a | false_label_2  →  evaluations-cbebfaf8b81a
[125/180] anthropic/claude-sonnet-4 | 08910860621b | none  →  evaluations-a5290e5e2e85
[126/180] anthropic/claude-sonnet-4 | 08910860621b | true_label  →  evaluations-0d79fb951b58
[127/180] anthropic/claude-sonnet-4 | 08910860621b | false_label_1  →  evaluations-e8bb0907a0f6
[128/180] anthropic/claude-sonnet-4 | 08910860621b | false_label_2  →  evaluations-9776bfb609ca
[129/180] anthropic/claude-sonnet-4 | 13f44e6d3f7b | none  →  evaluations-d75dd736b90e
[130/180] anthropic/claude-sonnet-4 | 13f44e6d3f7b | true_label  →  evaluations-04fd6d2ff29f
[131/180] anthropic/claude-sonnet-4 | 13f44e6d3f7b | false_label_1  →  evaluations-e85556ed3982
[132/180] anthropic/claude-sonnet-4 | 13f44e6d3f7b | false_label_2  →  evaluations-9831895f2a2e
[133/180] anthropic/claude-sonnet-4 | 63452cdd2871 | none  →  evaluations-44f3f7a39f6b
[134/180] anthropic/claude-sonnet-4 | 63452cdd2871 | true_label  →  evaluations-ab64beb389fe
[135/180] anthropic/claude-sonnet-4 | 63452cdd2871 | false_label_1  →  evaluations-1ebb9564941d
[136/180] anthropic/claude-sonnet-4 | 63452cdd2871 | false_label_2  →  evaluations-0fa9fea057b8
[137/180] anthropic/claude-sonnet-4 | bbfbdedc6265 | none  →  evaluations-c5d627e6354d
[138/180] anthropic/claude-sonnet-4 | bbfbdedc6265 | true_label  →  evaluations-3c90d645800c
[139/180] anthropic/claude-sonnet-4 | bbfbdedc6265 | false_label_1  →  evaluations-5626107d4e16
[140/180] anthropic/claude-sonnet-4 | bbfbdedc6265 | false_label_2  →  evaluations-9de0a806bbee
[141/180] anthropic/claude-sonnet-4 | 0386505f0fc3 | none  →  evaluations-6b416bbff8bb
[142/180] anthropic/claude-sonnet-4 | 0386505f0fc3 | true_label  →  evaluations-12130e2a2f1b
[143/180] anthropic/claude-sonnet-4 | 0386505f0fc3 | false_label_1  →  evaluations-fbb337ddd1c3
[144/180] anthropic/claude-sonnet-4 | 0386505f0fc3 | false_label_2  →  evaluations-64d75652b8d7
[145/180] anthropic/claude-sonnet-4 | 81c69986e1dd | none  →  evaluations-eb826dfbb63d
[146/180] anthropic/claude-sonnet-4 | 81c69986e1dd | true_label  →  evaluations-757ff77aa95e
[147/180] anthropic/claude-sonnet-4 | 81c69986e1dd | false_label_1  →  evaluations-d29428998f69
[148/180] anthropic/claude-sonnet-4 | 81c69986e1dd | false_label_2  →  evaluations-b889f37d74c4
[149/180] anthropic/claude-sonnet-4 | 073bbb8db1ce | none  →  evaluations-b2570268dea2
[150/180] anthropic/claude-sonnet-4 | 073bbb8db1ce | true_label  →  evaluations-bd25a3794e5e
[151/180] anthropic/claude-sonnet-4 | 073bbb8db1ce | false_label_1  →  evaluations-41b92c7c3c96
[152/180] anthropic/claude-sonnet-4 | 073bbb8db1ce | false_label_2  →  evaluations-156f3c65a25b
[153/180] anthropic/claude-sonnet-4 | ba241b5822b4 | none  →  evaluations-70cfbc67c1fe
[154/180] anthropic/claude-sonnet-4 | ba241b5822b4 | true_label  →  evaluations-3d28f0e2ce1a
[155/180] anthropic/claude-sonnet-4 | ba241b5822b4 | false_label_1  →  evaluations-5eceacaef6a3
[156/180] anthropic/claude-sonnet-4 | ba241b5822b4 | false_label_2  →  evaluations-2880d4251753
[157/180] anthropic/claude-sonnet-4 | 627b8e7ddfdd | none  →  evaluations-a14164e03f97
[158/180] anthropic/claude-sonnet-4 | 627b8e7ddfdd | true_label  →  evaluations-c792139b80e0
[159/180] anthropic/claude-sonnet-4 | 627b8e7ddfdd | false_label_1  →  evaluations-7b3daeaf96e4
[160/180] anthropic/claude-sonnet-4 | 627b8e7ddfdd | false_label_2  →  evaluations-bbf8b2333bc0
[161/180] anthropic/claude-sonnet-4 | def716dad417 | none  →  evaluations-327afaebda5c
[162/180] anthropic/claude-sonnet-4 | def716dad417 | true_label  →  evaluations-21c2baaf93bc
[163/180] anthropic/claude-sonnet-4 | def716dad417 | false_label_1  →  evaluations-4a0ac9285c60
[164/180] anthropic/claude-sonnet-4 | def716dad417 | false_label_2  →  evaluations-ac5054e044be
[165/180] anthropic/claude-sonnet-4 | 69797564b334 | none  →  evaluations-222c027c359d
[166/180] anthropic/claude-sonnet-4 | 69797564b334 | true_label  →  evaluations-10354cd67ff7
[167/180] anthropic/claude-sonnet-4 | 69797564b334 | false_label_1  →  evaluations-cfe7734163d4
[168/180] anthropic/claude-sonnet-4 | 69797564b334 | false_label_2  →  evaluations-f9a204b92636
[169/180] anthropic/claude-sonnet-4 | 5fb48fe7c420 | none  →  evaluations-ee8c9405d724
[170/180] anthropic/claude-sonnet-4 | 5fb48fe7c420 | true_label  →  evaluations-177ca6fb2d99
[171/180] anthropic/claude-sonnet-4 | 5fb48fe7c420 | false_label_1  →  evaluations-34abdef1b9d0
[172/180] anthropic/claude-sonnet-4 | 5fb48fe7c420 | false_label_2  →  evaluations-55aeee0331e4
[173/180] anthropic/claude-sonnet-4 | 9445101b6bfa | none  →  evaluations-413fd1705175
[174/180] anthropic/claude-sonnet-4 | 9445101b6bfa | true_label  →  evaluations-323e7eb76271
[175/180] anthropic/claude-sonnet-4 | 9445101b6bfa | false_label_1  →  evaluations-8ca540b7c33a
[176/180] anthropic/claude-sonnet-4 | 9445101b6bfa | false_label_2  →  evaluations-8bc86dcde4e9
[177/180] anthropic/claude-sonnet-4 | 999bb4623f49 | none  →  evaluations-b2511dccf218
[178/180] anthropic/claude-sonnet-4 | 999bb4623f49 | true_label  →  evaluations-cd99916a74ba
[179/180] anthropic/claude-sonnet-4 | 999bb4623f49 | false_label_1  →  evaluations-f85426825677
[180/180] anthropic/claude-sonnet-4 | 999bb4623f49 | false_label_2  →  evaluations-644dfb9fbc29
DONE
