Expected evaluations: 360; resuming with 180 already done.
[181/360] openai/gpt-4o | 9ced5123dca8 | none  →  evaluations-e70ccf67fdcb
[233/360] openai/gpt-4o | 0587b76aea95 | none  →  evaluations-e3344128d5f3
[234/360] openai/gpt-4o | 0587b76aea95 | true_label  →  evaluations-2b516d78f020
[235/360] openai/gpt-4o | 0587b76aea95 | false_label_1  →  evaluations-4eb7f3b9fcee
[236/360] openai/gpt-4o | 0587b76aea95 | false_label_2  →  evaluations-791f81e4c8d3
[237/360] openai/gpt-4o | 9f285ebdf405 | none  →  evaluations-3214e8567d27
[238/360] openai/gpt-4o | 9f285ebdf405 | true_label  →  evaluations-ee3d60d7ab33
[239/360] openai/gpt-4o | 9f285ebdf405 | false_label_1  →  evaluations-0e2fdd1b72b0
[240/360] openai/gpt-4o | 9f285ebdf405 | false_label_2  →  evaluations-d023e722a12b
[241/360] google/gemini-2.5-flash | 9ced5123dca8 | none  →  evaluations-c1bb5927da50
[242/360] google/gemini-2.5-flash | 9ced5123dca8 | true_label  →  evaluations-f04295c47d66
[243/360] google/gemini-2.5-flash | 9ced5123dca8 | false_label_1  →  evaluations-3b6427672eeb
[244/360] google/gemini-2.5-flash | 9ced5123dca8 | false_label_2  →  evaluations-bab8608a9dde
[245/360] google/gemini-2.5-flash | 8cd35eb9b9e8 | none  →  evaluations-77f5a99d7679
[246/360] google/gemini-2.5-flash | 8cd35eb9b9e8 | true_label  →  evaluations-1623f5773213
[247/360] google/gemini-2.5-flash | 8cd35eb9b9e8 | false_label_1  →  evaluations-145d92f827e6
[248/360] google/gemini-2.5-flash | 8cd35eb9b9e8 | false_label_2  →  evaluations-960ed9773bcb
[249/360] google/gemini-2.5-flash | b659fb81dbcc | none  →  evaluations-29166d860fb2
[250/360] google/gemini-2.5-flash | b659fb81dbcc | true_label  →  evaluations-a529d6a45cf3
[251/360] google/gemini-2.5-flash | b659fb81dbcc | false_label_1  →  evaluations-a9074c023fe9
[252/360] google/gemini-2.5-flash | b659fb81dbcc | false_label_2  →  evaluations-8a54e87a1557
[253/360] google/gemini-2.5-flash | 7ee6bcc30d1c | none  →  evaluations-39d9f7819c6e
[254/360] google/gemini-2.5-flash | 7ee6bcc30d1c | true_label  →  evaluations-53e8b2258eaf
[255/360] google/gemini-2.5-flash | 7ee6bcc30d1c | false_label_1  →  evaluations-daea14f73361
[256/360] google/gemini-2.5-flash | 7ee6bcc30d1c | false_label_2  →  evaluations-e9bcbe6412fc
[257/360] google/gemini-2.5-flash | 5950521ed469 | none  →  evaluations-a00376dbfcf2
[258/360] google/gemini-2.5-flash | 5950521ed469 | true_label  →  evaluations-1c6d8b9645b2
[259/360] google/gemini-2.5-flash | 5950521ed469 | false_label_1  →  evaluations-d1bde961f95a
[260/360] google/gemini-2.5-flash | 5950521ed469 | false_label_2  →  evaluations-8fcc3098d443
[261/360] google/gemini-2.5-flash | 6f84aea89387 | none  →  evaluations-4792e1f48a7a
[262/360] google/gemini-2.5-flash | 6f84aea89387 | true_label  →  evaluations-648d99064a60
[263/360] google/gemini-2.5-flash | 6f84aea89387 | false_label_1  →  evaluations-848c26fba50b
[264/360] google/gemini-2.5-flash | 6f84aea89387 | false_label_2  →  evaluations-10d03f6f0ead
[265/360] google/gemini-2.5-flash | 60270a891b7a | none  →  evaluations-fc89b42390a6
[266/360] google/gemini-2.5-flash | 60270a891b7a | true_label  →  evaluations-6bf314c3707a
[267/360] google/gemini-2.5-flash | 60270a891b7a | false_label_1  →  evaluations-b75ae6878305
[268/360] google/gemini-2.5-flash | 60270a891b7a | false_label_2  →  evaluations-a6c53ec6746c
[269/360] google/gemini-2.5-flash | b4d99bfad887 | none  →  evaluations-31cef5b2ab8f
[270/360] google/gemini-2.5-flash | b4d99bfad887 | true_label  →  evaluations-55614321f484
[271/360] google/gemini-2.5-flash | b4d99bfad887 | false_label_1  →  evaluations-a381551d1c37
[272/360] google/gemini-2.5-flash | b4d99bfad887 | false_label_2  →  evaluations-7a0c25c638b9
[273/360] google/gemini-2.5-flash | dea47e3c90d4 | none  →  evaluations-5b549dbad593
[274/360] google/gemini-2.5-flash | dea47e3c90d4 | true_label  →  evaluations-e928db744a52
[275/360] google/gemini-2.5-flash | dea47e3c90d4 | false_label_1  →  evaluations-5573636d621b
[276/360] google/gemini-2.5-flash | dea47e3c90d4 | false_label_2  →  evaluations-28ba1f8afe18
[277/360] google/gemini-2.5-flash | 5167ae82d662 | none  →  evaluations-c69bc61dec80
[278/360] google/gemini-2.5-flash | 5167ae82d662 | true_label  →  evaluations-32db4b36b3dc
[279/360] google/gemini-2.5-flash | 5167ae82d662 | false_label_1  →  evaluations-d35d596f3c93
[280/360] google/gemini-2.5-flash | 5167ae82d662 | false_label_2  →  evaluations-08d46b0894aa
[281/360] google/gemini-2.5-flash | a3717f0fc687 | none  →  evaluations-5c0e33dd6b11
[282/360] google/gemini-2.5-flash | a3717f0fc687 | true_label  →  evaluations-9727c7078237
[283/360] google/gemini-2.5-flash | a3717f0fc687 | false_label_1  →  evaluations-3db2a224a2a9
[284/360] google/gemini-2.5-flash | a3717f0fc687 | false_label_2  →  evaluations-7d8b761954d6
[285/360] google/gemini-2.5-flash | 29dd7d832d26 | none  →  evaluations-50f7b34f712f
[286/360] google/gemini-2.5-flash | 29dd7d832d26 | true_label  →  evaluations-a387698bfc77
[287/360] google/gemini-2.5-flash | 29dd7d832d26 | false_label_1  →  evaluations-273c3af31bcd
[288/360] google/gemini-2.5-flash | 29dd7d832d26 | false_label_2  →  evaluations-5c5fda966776
[289/360] google/gemini-2.5-flash | 381d4a01e0af | none  →  evaluations-01d3869dbab8
[290/360] google/gemini-2.5-flash | 381d4a01e0af | true_label  →  evaluations-b68e220fd9e3
[291/360] google/gemini-2.5-flash | 381d4a01e0af | false_label_1  →  evaluations-7c4c6e3c3eb3
[292/360] google/gemini-2.5-flash | 381d4a01e0af | false_label_2  →  evaluations-053bca06f73e
[293/360] google/gemini-2.5-flash | 0587b76aea95 | none  →  evaluations-152088277549
[294/360] google/gemini-2.5-flash | 0587b76aea95 | true_label  →  evaluations-0ff077705b5c
[295/360] google/gemini-2.5-flash | 0587b76aea95 | false_label_1  →  evaluations-d5f619e84996
[296/360] google/gemini-2.5-flash | 0587b76aea95 | false_label_2  →  evaluations-b9da766fff70
[297/360] google/gemini-2.5-flash | 9f285ebdf405 | none  →  evaluations-a4d8083a750b
[298/360] google/gemini-2.5-flash | 9f285ebdf405 | true_label  →  evaluations-36a185bdc961
[299/360] google/gemini-2.5-flash | 9f285ebdf405 | false_label_1  →  evaluations-ed74f8658619
[300/360] google/gemini-2.5-flash | 9f285ebdf405 | false_label_2  →  evaluations-8025ea90dbc3
[301/360] anthropic/claude-sonnet-4 | 9ced5123dca8 | none  →  evaluations-489d4274567f
[302/360] anthropic/claude-sonnet-4 | 9ced5123dca8 | true_label  →  evaluations-9f8f3cc15ed9
[303/360] anthropic/claude-sonnet-4 | 9ced5123dca8 | false_label_1  →  evaluations-85a46ea791ad
[304/360] anthropic/claude-sonnet-4 | 9ced5123dca8 | false_label_2  →  evaluations-6e66c5eac4dd
[305/360] anthropic/claude-sonnet-4 | 8cd35eb9b9e8 | none  →  evaluations-424b7208cf40
[306/360] anthropic/claude-sonnet-4 | 8cd35eb9b9e8 | true_label  →  evaluations-fa8d5f22e749
[307/360] anthropic/claude-sonnet-4 | 8cd35eb9b9e8 | false_label_1  →  evaluations-77bd385f1338
[308/360] anthropic/claude-sonnet-4 | 8cd35eb9b9e8 | false_label_2  →  evaluations-7124d198cc99
[309/360] anthropic/claude-sonnet-4 | b659fb81dbcc | none  →  evaluations-3f01839d5a96
[310/360] anthropic/claude-sonnet-4 | b659fb81dbcc | true_label  →  evaluations-db23affb4477
[311/360] anthropic/claude-sonnet-4 | b659fb81dbcc | false_label_1  →  evaluations-e3e5a76c9eab
[312/360] anthropic/claude-sonnet-4 | b659fb81dbcc | false_label_2  →  evaluations-7e6d988e3d94
[313/360] anthropic/claude-sonnet-4 | 7ee6bcc30d1c | none  →  evaluations-c8acb202fd7f
[314/360] anthropic/claude-sonnet-4 | 7ee6bcc30d1c | true_label  →  evaluations-eaa34a6a538d
[315/360] anthropic/claude-sonnet-4 | 7ee6bcc30d1c | false_label_1  →  evaluations-66652b39d0ef
[316/360] anthropic/claude-sonnet-4 | 7ee6bcc30d1c | false_label_2  →  evaluations-f5747b6680ce
[317/360] anthropic/claude-sonnet-4 | 5950521ed469 | none  →  evaluations-c3394e0b3cbd
[318/360] anthropic/claude-sonnet-4 | 5950521ed469 | true_label  →  evaluations-62f37cf9fe33
[319/360] anthropic/claude-sonnet-4 | 5950521ed469 | false_label_1  →  evaluations-ebff5bf20c35
[320/360] anthropic/claude-sonnet-4 | 5950521ed469 | false_label_2  →  evaluations-60e1f92fe0e1
[321/360] anthropic/claude-sonnet-4 | 6f84aea89387 | none  →  evaluations-7d02791ad255
[322/360] anthropic/claude-sonnet-4 | 6f84aea89387 | true_label  →  evaluations-8c3fa1b243d0
[323/360] anthropic/claude-sonnet-4 | 6f84aea89387 | false_label_1  →  evaluations-497591406c05
[324/360] anthropic/claude-sonnet-4 | 6f84aea89387 | false_label_2  →  evaluations-9de54feceabb
[325/360] anthropic/claude-sonnet-4 | 60270a891b7a | none  →  evaluations-4357b06d5623
[326/360] anthropic/claude-sonnet-4 | 60270a891b7a | true_label  →  evaluations-d926b4218256
[327/360] anthropic/claude-sonnet-4 | 60270a891b7a | false_label_1  →  evaluations-af9aec44d03b
[328/360] anthropic/claude-sonnet-4 | 60270a891b7a | false_label_2  →  evaluations-548e92520322
[329/360] anthropic/claude-sonnet-4 | b4d99bfad887 | none  →  evaluations-0668bbe3f7c3
[330/360] anthropic/claude-sonnet-4 | b4d99bfad887 | true_label  →  evaluations-69a9b0b23ad6
[331/360] anthropic/claude-sonnet-4 | b4d99bfad887 | false_label_1  →  evaluations-198c93a485fc
[332/360] anthropic/claude-sonnet-4 | b4d99bfad887 | false_label_2  →  evaluations-a6adc9e58336
[333/360] anthropic/claude-sonnet-4 | dea47e3c90d4 | none  →  evaluations-6d26cd13780c
[334/360] anthropic/claude-sonnet-4 | dea47e3c90d4 | true_label  →  evaluations-c40e81e265bb
[335/360] anthropic/claude-sonnet-4 | dea47e3c90d4 | false_label_1  →  evaluations-e35ba53f2cc7
[336/360] anthropic/claude-sonnet-4 | dea47e3c90d4 | false_label_2  →  evaluations-157b67f95628
[337/360] anthropic/claude-sonnet-4 | 5167ae82d662 | none  →  evaluations-262f621b9a60
[338/360] anthropic/claude-sonnet-4 | 5167ae82d662 | true_label  →  evaluations-8a08104771ae
[339/360] anthropic/claude-sonnet-4 | 5167ae82d662 | false_label_1  →  evaluations-98033290337d
[340/360] anthropic/claude-sonnet-4 | 5167ae82d662 | false_label_2  →  evaluations-457bea871d67
[341/360] anthropic/claude-sonnet-4 | a3717f0fc687 | none  →  evaluations-d44e8a36c318
[342/360] anthropic/claude-sonnet-4 | a3717f0fc687 | true_label  →  evaluations-4ca3855748fc
[343/360] anthropic/claude-sonnet-4 | a3717f0fc687 | false_label_1  →  evaluations-36f497aff355
[344/360] anthropic/claude-sonnet-4 | a3717f0fc687 | false_label_2  →  evaluations-6d20f2bcb966
[345/360] anthropic/claude-sonnet-4 | 29dd7d832d26 | none  →  evaluations-55422f82a444
[346/360] anthropic/claude-sonnet-4 | 29dd7d832d26 | true_label  →  evaluations-5477f2ac888e
[347/360] anthropic/claude-sonnet-4 | 29dd7d832d26 | false_label_1  →  evaluations-8c2200e2fd47
[348/360] anthropic/claude-sonnet-4 | 29dd7d832d26 | false_label_2  →  evaluations-0cba04d674c2
[349/360] anthropic/claude-sonnet-4 | 381d4a01e0af | none  →  evaluations-02522d4ba1f5
[350/360] anthropic/claude-sonnet-4 | 381d4a01e0af | true_label  →  evaluations-d32bfe42ae2a
[351/360] anthropic/claude-sonnet-4 | 381d4a01e0af | false_label_1  →  evaluations-3a5afa360cb2
[352/360] anthropic/claude-sonnet-4 | 381d4a01e0af | false_label_2  →  evaluations-5926f8cd1e88
[353/360] anthropic/claude-sonnet-4 | 0587b76aea95 | none  →  evaluations-dda25dec388e
[354/360] anthropic/claude-sonnet-4 | 0587b76aea95 | true_label  →  evaluations-14c2b2f04802
[355/360] anthropic/claude-sonnet-4 | 0587b76aea95 | false_label_1  →  evaluations-3075bd22881a
[356/360] anthropic/claude-sonnet-4 | 0587b76aea95 | false_label_2  →  evaluations-678d25d6e902
[357/360] anthropic/claude-sonnet-4 | 9f285ebdf405 | none  →  evaluations-5df4a5cb2444
[358/360] anthropic/claude-sonnet-4 | 9f285ebdf405 | true_label  →  evaluations-fbaf328648fe
[359/360] anthropic/claude-sonnet-4 | 9f285ebdf405 | false_label_1  →  evaluations-a16786dfe3b7
[360/360] anthropic/claude-sonnet-4 | 9f285ebdf405 | false_label_2  →  evaluations-de03e770b1a3
DONE
