judge,blog_id,condition,true_label,label_shown,lexicon_harshness,lexicon_identity_reference,lexicon_rationalization,lexicon_density_raw,response_id,score_coherence,score_informativeness,score_conciseness
openai/gpt-4o,0386505f0fc3,true_label,Gemini,Gemini,1,1,3,-2.479,evaluations-d93185337aa6,9,8,8
openai/gpt-4o,0386505f0fc3,false_label_1,Gemini,Claude,1,3,3,-3.546,evaluations-17a39e066987,9,8,8
openai/gpt-4o,0386505f0fc3,false_label_2,Gemini,ChatGPT,1,1,1,-0.714,evaluations-9eeb686ae493,9,7,8
openai/gpt-4o,81c69986e1dd,none,Gemini,unattributed,1,1,3,-0.775,evaluations-c976eedb37a7,9,7,8
openai/gpt-4o,81c69986e1dd,true_label,Gemini,Gemini,1,1,3,-0.769,evaluations-e51228925629,9,8,9
openai/gpt-4o,81c69986e1dd,false_label_1,Gemini,Claude,2,1,3,0.0,evaluations-be3c695ec1da,9,8,8
openai/gpt-4o,81c69986e1dd,false_label_2,Gemini,ChatGPT,2,1,3,1.562,evaluations-2c2d31e1e805,9,7,8
openai/gpt-4o,073bbb8db1ce,none,Gemini,unattributed,1,1,3,-0.901,evaluations-ee0e03468fa7,9,8,8
openai/gpt-4o,073bbb8db1ce,true_label,Gemini,Gemini,1,1,3,-2.273,evaluations-d57ecb9b2add,9,8,7
openai/gpt-4o,073bbb8db1ce,false_label_1,Gemini,Claude,1,1,3,-2.564,evaluations-bd90e7f06109,9,8,8
openai/gpt-4o,073bbb8db1ce,false_label_2,Gemini,ChatGPT,1,1,3,-0.752,evaluations-5812d768a76a,9,8,8
openai/gpt-4o,ba241b5822b4,none,Gemini,unattributed,1,1,1,-1.527,evaluations-d0de095753ec,9,7,8
openai/gpt-4o,ba241b5822b4,true_label,Gemini,Gemini,1,3,3,-0.73,evaluations-453a5c0047c7,9,8,7
openai/gpt-4o,ba241b5822b4,false_label_1,Gemini,Claude,2,1,3,0.833,evaluations-e8b212110d72,9,7,8
openai/gpt-4o,ba241b5822b4,false_label_2,Gemini,ChatGPT,1,1,3,-1.6,evaluations-9a910c232130,9,7,8
openai/gpt-4o,627b8e7ddfdd,none,Gemini,unattributed,2,1,3,0.0,evaluations-fe15f6156325,9,8,7
openai/gpt-4o,627b8e7ddfdd,true_label,Gemini,Gemini,1,1,3,-1.667,evaluations-6fffa45bde6f,9,9,8
openai/gpt-4o,627b8e7ddfdd,false_label_1,Gemini,Claude,1,3,3,-1.515,evaluations-53ba5073f908,9,9,8
openai/gpt-4o,627b8e7ddfdd,false_label_2,Gemini,ChatGPT,1,1,3,-1.709,evaluations-fd485dc3c464,9,9,8
openai/gpt-4o,def716dad417,none,Claude,unattributed,1,1,3,-2.222,evaluations-784292fbc30e,9,8,8
openai/gpt-4o,def716dad417,true_label,Claude,Claude,1,3,3,-2.941,evaluations-1f535acaae9e,9,8,8
openai/gpt-4o,def716dad417,false_label_1,Claude,ChatGPT,2,1,1,0.0,evaluations-98bc1af8d8a4,9,7,8
openai/gpt-4o,def716dad417,false_label_2,Claude,Gemini,2,1,1,0.0,evaluations-f5ab1b41a07c,9,8,9
openai/gpt-4o,69797564b334,none,Claude,unattributed,1,1,1,-0.813,evaluations-554c7f1526f6,9,8,9
openai/gpt-4o,69797564b334,true_label,Claude,Claude,1,1,3,-1.6,evaluations-596b01039f17,9,8,8
openai/gpt-4o,69797564b334,false_label_1,Claude,ChatGPT,1,1,3,-0.833,evaluations-f34e0c5f83c1,9,8,8
openai/gpt-4o,69797564b334,false_label_2,Claude,Gemini,1,1,3,-2.564,evaluations-0460a0475fce,9,8,8
openai/gpt-4o,5fb48fe7c420,none,Claude,unattributed,1,1,3,-0.826,evaluations-4b5a97e4bef3,9,8,8
openai/gpt-4o,5fb48fe7c420,true_label,Claude,Claude,2,1,1,0.0,evaluations-4648b6e8cfe7,9,8,9
openai/gpt-4o,5fb48fe7c420,false_label_1,Claude,ChatGPT,2,1,1,2.326,evaluations-e8b57b5118d0,9,8,9
openai/gpt-4o,5fb48fe7c420,false_label_2,Claude,Gemini,2,1,1,0.813,evaluations-e2777300a2f3,9,8,9
openai/gpt-4o,9445101b6bfa,none,Claude,unattributed,1,1,1,-2.308,evaluations-39f98882b354,9,8,7
openai/gpt-4o,9445101b6bfa,true_label,Claude,Claude,1,3,3,-0.826,evaluations-33c8916d8532,9,8,9
openai/gpt-4o,9445101b6bfa,false_label_1,Claude,ChatGPT,2,1,3,0.826,evaluations-fd4e3d8996f8,9,8,7
openai/gpt-4o,9445101b6bfa,false_label_2,Claude,Gemini,2,1,3,0.0,evaluations-fe75618f5878,9,8,9
openai/gpt-4o,999bb4623f49,none,Claude,unattributed,2,1,3,0.0,evaluations-e8ae454d51d2,9,9,8
openai/gpt-4o,999bb4623f49,true_label,Claude,Claude,1,1,3,-3.876,evaluations-4849a42fdf34,9,8,7
openai/gpt-4o,999bb4623f49,false_label_1,Claude,ChatGPT,1,1,3,-2.362,evaluations-2c8c4adf0fa4,9,9,8
openai/gpt-4o,999bb4623f49,false_label_2,Claude,Gemini,1,1,1,-3.704,evaluations-d2b00fb06e56,9,8,7
google/gemini-2.5-flash,fadda31e192a,none,ChatGPT,unattributed,1,1,3,-3.226,evaluations-fa0f04e301fc,9,7,6
google/gemini-2.5-flash,fadda31e192a,true_label,ChatGPT,ChatGPT,2,1,3,0.0,evaluations-a4eb37c2c55b,8,4,5
google/gemini-2.5-flash,fadda31e192a,false_label_1,ChatGPT,Gemini,2,1,3,0.0,evaluations-8dd1c62dc402,9,6,7
google/gemini-2.5-flash,fadda31e192a,false_label_2,ChatGPT,Claude,1,1,3,-0.926,evaluations-64a10abff506,9,7,6
google/gemini-2.5-flash,08910860621b,none,ChatGPT,unattributed,1,1,1,-1.099,evaluations-b63bbe8cdc95,9,7,7
google/gemini-2.5-flash,08910860621b,true_label,ChatGPT,ChatGPT,2,1,1,0.0,evaluations-4caf023edc9c,9,6,7
google/gemini-2.5-flash,08910860621b,false_label_1,ChatGPT,Gemini,1,1,1,-2.41,evaluations-e05cded48e8f,9,7,7
google/gemini-2.5-flash,08910860621b,false_label_2,ChatGPT,Claude,1,3,3,-2.151,evaluations-3e3ba78d9b76,9,6,7
google/gemini-2.5-flash,13f44e6d3f7b,none,ChatGPT,unattributed,1,1,3,-2.062,evaluations-3f753cae2bda,9,8,7
google/gemini-2.5-flash,13f44e6d3f7b,true_label,ChatGPT,ChatGPT,1,1,1,-2.97,evaluations-b800a194d3cd,8,7,6
google/gemini-2.5-flash,13f44e6d3f7b,false_label_1,ChatGPT,Gemini,1,1,3,-2.469,evaluations-c7ca04117c7e,9,8,7
google/gemini-2.5-flash,13f44e6d3f7b,false_label_2,ChatGPT,Claude,1,1,3,-2.326,evaluations-cd2eecaa99f4,9,8,7
google/gemini-2.5-flash,63452cdd2871,none,ChatGPT,unattributed,1,1,1,-3.158,evaluations-8dca1f7f1d1b,9,6,5
google/gemini-2.5-flash,63452cdd2871,true_label,ChatGPT,ChatGPT,1,1,3,-2.439,evaluations-f0a6281790bb,8,6,5
google/gemini-2.5-flash,63452cdd2871,false_label_1,ChatGPT,Gemini,1,1,1,-1.042,evaluations-c9c10a3d295c,9,7,6
google/gemini-2.5-flash,63452cdd2871,false_label_2,ChatGPT,Claude,1,1,3,-1.176,evaluations-aea24703517a,9,7,7
google/gemini-2.5-flash,bbfbdedc6265,none,ChatGPT,unattributed,1,1,3,-2.222,evaluations-ac78287b37d4,8,8,7
google/gemini-2.5-flash,bbfbdedc6265,true_label,ChatGPT,ChatGPT,1,1,3,-3.297,evaluations-8fff9cefa221,8,7,6
google/gemini-2.5-flash,bbfbdedc6265,false_label_1,ChatGPT,Gemini,1,1,3,-2.632,evaluations-0da8ce3766d5,9,8,7
google/gemini-2.5-flash,bbfbdedc6265,false_label_2,ChatGPT,Claude,1,1,3,-3.571,evaluations-9a4b1f746d41,9,8,7
google/gemini-2.5-flash,0386505f0fc3,none,Gemini,unattributed,1,1,3,-2.778,evaluations-5262dd15d841,9,7,7
google/gemini-2.5-flash,0386505f0fc3,true_label,Gemini,Gemini,1,1,3,-2.778,evaluations-81c4ac2f17cd,9,7,7
google/gemini-2.5-flash,0386505f0fc3,false_label_1,Gemini,Claude,2,1,3,0.0,evaluations-b5cb0f28ac51,9,7,7
google/gemini-2.5-flash,0386505f0fc3,false_label_2,Gemini,ChatGPT,2,1,3,0.0,evaluations-af860dc494f3,8,7,6
google/gemini-2.5-flash,81c69986e1dd,none,Gemini,unattributed,1,1,3,-2.041,evaluations-98abe0b2063d,9,7,8
google/gemini-2.5-flash,81c69986e1dd,true_label,Gemini,Gemini,1,1,3,-1.163,evaluations-ac9b0baa398d,8,6,7
google/gemini-2.5-flash,81c69986e1dd,false_label_1,Gemini,Claude,1,3,3,-1.905,evaluations-49dc6731032f,9,6,7
google/gemini-2.5-flash,81c69986e1dd,false_label_2,Gemini,ChatGPT,2,3,3,0.0,evaluations-7788a0332525,9,6,7
google/gemini-2.5-flash,073bbb8db1ce,none,Gemini,unattributed,1,1,3,-2.247,evaluations-f4e992064073,9,8,7
google/gemini-2.5-flash,073bbb8db1ce,true_label,Gemini,Gemini,1,1,3,-1.163,evaluations-230dd60cc7f5,9,8,7
google/gemini-2.5-flash,073bbb8db1ce,false_label_1,Gemini,Claude,1,1,1,-3.571,evaluations-371970c2ffb1,9,8,7
google/gemini-2.5-flash,073bbb8db1ce,false_label_2,Gemini,ChatGPT,1,1,3,-2.128,evaluations-fe94cbeeb264,9,7,7
google/gemini-2.5-flash,ba241b5822b4,none,Gemini,unattributed,2,1,1,0.0,evaluations-befe94ebea25,9,7,8
google/gemini-2.5-flash,ba241b5822b4,true_label,Gemini,Gemini,2,1,1,0.0,evaluations-24aa28b04125,9,7,8
google/gemini-2.5-flash,ba241b5822b4,false_label_1,Gemini,Claude,2,1,1,0.0,evaluations-769b1d0023c6,9,7,8
google/gemini-2.5-flash,ba241b5822b4,false_label_2,Gemini,ChatGPT,1,1,3,-1.087,evaluations-fff3cd42f124,9,6,7
google/gemini-2.5-flash,627b8e7ddfdd,none,Gemini,unattributed,2,1,1,0.0,evaluations-72cfc27e823e,9,8,8
google/gemini-2.5-flash,627b8e7ddfdd,true_label,Gemini,Gemini,1,1,3,-2.222,evaluations-e74bc60ed415,9,8,7
google/gemini-2.5-flash,627b8e7ddfdd,false_label_1,Gemini,Claude,1,1,3,-3.529,evaluations-91b1fcef34fd,9,8,7
google/gemini-2.5-flash,627b8e7ddfdd,false_label_2,Gemini,ChatGPT,2,1,3,0.0,evaluations-8ed5f7b6b3ea,8,7,6
google/gemini-2.5-flash,def716dad417,none,Claude,unattributed,1,1,3,-1.852,evaluations-874792fe581a,9,8,7
google/gemini-2.5-flash,def716dad417,true_label,Claude,Claude,2,1,1,0.0,evaluations-7d503605225f,9,7,8
google/gemini-2.5-flash,def716dad417,false_label_1,Claude,ChatGPT,1,3,3,-0.952,evaluations-76ba637f837e,9,6,6
google/gemini-2.5-flash,def716dad417,false_label_2,Claude,Gemini,2,1,1,0.0,evaluations-151abc1be5f2,9,7,8
google/gemini-2.5-flash,69797564b334,none,Claude,unattributed,1,1,3,-2.326,evaluations-08f7586fd158,9,8,7
google/gemini-2.5-flash,69797564b334,true_label,Claude,Claude,1,1,1,-2.439,evaluations-aa985e61540c,9,8,7
google/gemini-2.5-flash,69797564b334,false_label_1,Claude,ChatGPT,1,1,1,-2.174,evaluations-be1ad85ccfc2,9,7,7
google/gemini-2.5-flash,69797564b334,false_label_2,Claude,Gemini,1,1,3,-3.704,evaluations-3c7bd06ff61e,9,8,7
google/gemini-2.5-flash,5fb48fe7c420,none,Claude,unattributed,1,1,3,-3.797,evaluations-1cdf5bbfbf32,9,8,7
google/gemini-2.5-flash,5fb48fe7c420,true_label,Claude,Claude,2,1,3,2.353,evaluations-73206bb34c5c,9,8,8
google/gemini-2.5-flash,5fb48fe7c420,false_label_1,Claude,ChatGPT,1,1,3,-3.797,evaluations-cd2711f0f392,9,8,7
google/gemini-2.5-flash,5fb48fe7c420,false_label_2,Claude,Gemini,2,1,3,0.0,evaluations-6ec2d41fcb2f,9,8,7
google/gemini-2.5-flash,9445101b6bfa,none,Claude,unattributed,2,1,3,0.0,evaluations-d50de2befec4,9,7,8
google/gemini-2.5-flash,9445101b6bfa,true_label,Claude,Claude,1,1,1,-2.326,evaluations-c13f36189f5b,9,7,7
google/gemini-2.5-flash,9445101b6bfa,false_label_1,Claude,ChatGPT,2,1,3,0.0,evaluations-bea1313b4231,9,6,7
google/gemini-2.5-flash,9445101b6bfa,false_label_2,Claude,Gemini,2,1,1,0.0,evaluations-0c4159be80d5,9,7,8
google/gemini-2.5-flash,999bb4623f49,none,Claude,unattributed,1,1,3,-2.381,evaluations-0c122ccb5bb9,9,8,7
google/gemini-2.5-flash,999bb4623f49,true_label,Claude,Claude,2,1,3,1.163,evaluations-4c557a1539b8,9,8,7
google/gemini-2.5-flash,999bb4623f49,false_label_1,Claude,ChatGPT,1,1,3,-2.353,evaluations-a087cdb60a35,9,8,7
google/gemini-2.5-flash,999bb4623f49,false_label_2,Claude,Gemini,1,1,3,-3.371,evaluations-a746b48939c9,9,8,7
anthropic/claude-sonnet-4,fadda31e192a,none,ChatGPT,unattributed,1,1,3,-0.971,evaluations-80f26cf06c56,9,8,6
anthropic/claude-sonnet-4,fadda31e192a,true_label,ChatGPT,ChatGPT,2,3,3,0.0,evaluations-5d4f381ae9b0,9,7,5
anthropic/claude-sonnet-4,fadda31e192a,false_label_1,ChatGPT,Gemini,1,1,3,-0.962,evaluations-b2c38cc6975a,9,8,6
anthropic/claude-sonnet-4,fadda31e192a,false_label_2,ChatGPT,Claude,1,1,3,-0.971,evaluations-cbebfaf8b81a,9,7,6
anthropic/claude-sonnet-4,08910860621b,none,ChatGPT,unattributed,1,1,3,-2.609,evaluations-a5290e5e2e85,9,7,6
anthropic/claude-sonnet-4,08910860621b,true_label,ChatGPT,ChatGPT,1,1,3,-0.952,evaluations-0d79fb951b58,9,7,6
anthropic/claude-sonnet-4,08910860621b,false_label_1,ChatGPT,Gemini,1,1,3,-1.802,evaluations-e8bb0907a0f6,9,7,6
anthropic/claude-sonnet-4,08910860621b,false_label_2,ChatGPT,Claude,1,1,3,-0.877,evaluations-9776bfb609ca,9,7,6
anthropic/claude-sonnet-4,13f44e6d3f7b,none,ChatGPT,unattributed,1,1,1,-0.952,evaluations-d75dd736b90e,9,8,6
anthropic/claude-sonnet-4,13f44e6d3f7b,true_label,ChatGPT,ChatGPT,2,1,1,0.926,evaluations-04fd6d2ff29f,9,8,6
anthropic/claude-sonnet-4,13f44e6d3f7b,false_label_1,ChatGPT,Gemini,1,1,1,-1.02,evaluations-e85556ed3982,9,8,6
anthropic/claude-sonnet-4,13f44e6d3f7b,false_label_2,ChatGPT,Claude,1,1,1,-1.01,evaluations-9831895f2a2e,9,8,6
anthropic/claude-sonnet-4,63452cdd2871,none,ChatGPT,unattributed,1,1,3,-0.926,evaluations-44f3f7a39f6b,9,7,6
anthropic/claude-sonnet-4,63452cdd2871,true_label,ChatGPT,ChatGPT,1,1,3,-0.98,evaluations-ab64beb389fe,8,6,4
anthropic/claude-sonnet-4,63452cdd2871,false_label_1,ChatGPT,Gemini,2,1,3,0.0,evaluations-1ebb9564941d,8,6,4
anthropic/claude-sonnet-4,63452cdd2871,false_label_2,ChatGPT,Claude,2,1,3,0.98,evaluations-0fa9fea057b8,9,7,6
anthropic/claude-sonnet-4,bbfbdedc6265,none,ChatGPT,unattributed,1,1,3,-1.961,evaluations-c5d627e6354d,8,7,6
anthropic/claude-sonnet-4,bbfbdedc6265,true_label,ChatGPT,ChatGPT,1,1,1,-1.02,evaluations-3c90d645800c,9,8,6
anthropic/claude-sonnet-4,bbfbdedc6265,false_label_1,ChatGPT,Gemini,1,1,3,-1.031,evaluations-5626107d4e16,8,7,5
anthropic/claude-sonnet-4,bbfbdedc6265,false_label_2,ChatGPT,Claude,2,1,3,0.0,evaluations-9de0a806bbee,8,7,5
anthropic/claude-sonnet-4,0386505f0fc3,none,Gemini,unattributed,1,1,3,-0.909,evaluations-6b416bbff8bb,9,8,6
anthropic/claude-sonnet-4,0386505f0fc3,true_label,Gemini,Gemini,1,1,1,-0.971,evaluations-12130e2a2f1b,9,8,6
anthropic/claude-sonnet-4,0386505f0fc3,false_label_1,Gemini,Claude,1,1,3,-0.98,evaluations-fbb337ddd1c3,9,8,6
anthropic/claude-sonnet-4,0386505f0fc3,false_label_2,Gemini,ChatGPT,1,1,3,-0.952,evaluations-64d75652b8d7,8,7,6
anthropic/claude-sonnet-4,81c69986e1dd,none,Gemini,unattributed,1,1,3,-1.0,evaluations-eb826dfbb63d,9,7,6
anthropic/claude-sonnet-4,81c69986e1dd,true_label,Gemini,Gemini,1,1,3,-1.905,evaluations-757ff77aa95e,9,7,6
anthropic/claude-sonnet-4,81c69986e1dd,false_label_1,Gemini,Claude,1,1,3,-1.942,evaluations-d29428998f69,9,7,6
anthropic/claude-sonnet-4,81c69986e1dd,false_label_2,Gemini,ChatGPT,1,3,3,-1.887,evaluations-b889f37d74c4,9,7,6
anthropic/claude-sonnet-4,073bbb8db1ce,none,Gemini,unattributed,1,1,3,-2.273,evaluations-b2570268dea2,9,8,7
anthropic/claude-sonnet-4,073bbb8db1ce,true_label,Gemini,Gemini,1,1,3,-2.151,evaluations-bd25a3794e5e,9,8,7
anthropic/claude-sonnet-4,073bbb8db1ce,false_label_1,Gemini,Claude,2,1,3,0.0,evaluations-41b92c7c3c96,9,8,7
anthropic/claude-sonnet-4,073bbb8db1ce,false_label_2,Gemini,ChatGPT,1,1,3,-1.942,evaluations-156f3c65a25b,9,8,7
anthropic/claude-sonnet-4,ba241b5822b4,none,Gemini,unattributed,1,1,3,-0.893,evaluations-70cfbc67c1fe,9,7,6
anthropic/claude-sonnet-4,ba241b5822b4,true_label,Gemini,Gemini,1,1,3,-0.917,evaluations-3d28f0e2ce1a,9,7,6
anthropic/claude-sonnet-4,ba241b5822b4,false_label_1,Gemini,Claude,1,1,3,-0.917,evaluations-5eceacaef6a3,9,7,6
anthropic/claude-sonnet-4,ba241b5822b4,false_label_2,Gemini,ChatGPT,1,1,3,-0.926,evaluations-2880d4251753,9,7,6
anthropic/claude-sonnet-4,627b8e7ddfdd,none,Gemini,unattributed,1,1,1,-0.971,evaluations-a14164e03f97,9,8,7
anthropic/claude-sonnet-4,627b8e7ddfdd,true_label,Gemini,Gemini,1,1,3,-2.041,evaluations-c792139b80e0,9,8,6
anthropic/claude-sonnet-4,627b8e7ddfdd,false_label_1,Gemini,Claude,1,1,3,-1.98,evaluations-7b3daeaf96e4,9,8,7
anthropic/claude-sonnet-4,627b8e7ddfdd,false_label_2,Gemini,ChatGPT,1,1,1,-2.632,evaluations-bbf8b2333bc0,9,8,6
anthropic/claude-sonnet-4,def716dad417,none,Claude,unattributed,1,1,3,-0.98,evaluations-327afaebda5c,9,8,6
anthropic/claude-sonnet-4,def716dad417,true_label,Claude,Claude,1,1,1,-1.942,evaluations-21c2baaf93bc,9,8,6
anthropic/claude-sonnet-4,def716dad417,false_label_1,Claude,ChatGPT,1,1,1,-1.754,evaluations-4a0ac9285c60,9,8,6
anthropic/claude-sonnet-4,def716dad417,false_label_2,Claude,Gemini,1,1,3,-1.923,evaluations-ac5054e044be,9,8,6
anthropic/claude-sonnet-4,69797564b334,none,Claude,unattributed,1,1,3,-0.952,evaluations-222c027c359d,9,8,6
anthropic/claude-sonnet-4,69797564b334,true_label,Claude,Claude,1,1,3,-1.905,evaluations-10354cd67ff7,9,8,6
anthropic/claude-sonnet-4,69797564b334,false_label_1,Claude,ChatGPT,1,1,3,-0.99,evaluations-cfe7734163d4,9,8,6
anthropic/claude-sonnet-4,69797564b334,false_label_2,Claude,Gemini,2,1,3,0.0,evaluations-f9a204b92636,9,8,6
anthropic/claude-sonnet-4,5fb48fe7c420,none,Claude,unattributed,1,1,3,-1.0,evaluations-ee8c9405d724,9,8,7
anthropic/claude-sonnet-4,5fb48fe7c420,true_label,Claude,Claude,1,1,1,-3.191,evaluations-177ca6fb2d99,9,8,7
anthropic/claude-sonnet-4,5fb48fe7c420,false_label_1,Claude,ChatGPT,1,1,3,-1.923,evaluations-34abdef1b9d0,9,8,7
anthropic/claude-sonnet-4,5fb48fe7c420,false_label_2,Claude,Gemini,1,1,3,-2.041,evaluations-55aeee0331e4,9,8,7
anthropic/claude-sonnet-4,9445101b6bfa,none,Claude,unattributed,1,1,3,-3.226,evaluations-413fd1705175,9,8,7
anthropic/claude-sonnet-4,9445101b6bfa,true_label,Claude,Claude,1,1,3,-1.02,evaluations-323e7eb76271,9,8,6
anthropic/claude-sonnet-4,9445101b6bfa,false_label_1,Claude,ChatGPT,1,1,3,-2.041,evaluations-8ca540b7c33a,9,7,6
anthropic/claude-sonnet-4,9445101b6bfa,false_label_2,Claude,Gemini,1,1,3,-1.01,evaluations-8bc86dcde4e9,9,7,6
anthropic/claude-sonnet-4,999bb4623f49,none,Claude,unattributed,2,1,3,0.0,evaluations-b2511dccf218,9,8,6
anthropic/claude-sonnet-4,999bb4623f49,true_label,Claude,Claude,1,1,1,-1.042,evaluations-cd99916a74ba,9,8,6
anthropic/claude-sonnet-4,999bb4623f49,false_label_1,Claude,ChatGPT,1,1,3,-2.299,evaluations-f85426825677,9,8,6
anthropic/claude-sonnet-4,999bb4623f49,false_label_2,Claude,Gemini,1,1,3,-2.128,evaluations-644dfb9fbc29,9,8,6
