judge,blog_id,condition,true_label,label_shown,lex_count_mild,lex_count_moderate,lex_count_severe,lex_weighted_sum,lex_total_count,response_id
openai/gpt-4o,6f84aea89387,false_label_2,Gemini,ChatGPT,2,0,0,4,2,evaluations-f5e4ba8aeb27
openai/gpt-4o,60270a891b7a,none,Gemini,unattributed,0,0,0,0,0,evaluations-4fe764c192e3
openai/gpt-4o,60270a891b7a,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-f512bef0f7fd
openai/gpt-4o,60270a891b7a,false_label_1,Gemini,Claude,1,0,0,2,1,evaluations-2c991b9179f7
openai/gpt-4o,60270a891b7a,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-cccd73193402
openai/gpt-4o,b4d99bfad887,none,Gemini,unattributed,0,0,0,0,0,evaluations-3020c7e6711a
openai/gpt-4o,b4d99bfad887,true_label,Gemini,Gemini,1,0,0,2,1,evaluations-f22aea0279b4
openai/gpt-4o,b4d99bfad887,false_label_1,Gemini,Claude,1,0,0,2,1,evaluations-d57f727af862
openai/gpt-4o,b4d99bfad887,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-2ace781d97ae
openai/gpt-4o,dea47e3c90d4,none,Gemini,unattributed,1,0,0,2,1,evaluations-74cbb8d83237
openai/gpt-4o,dea47e3c90d4,true_label,Gemini,Gemini,1,0,0,2,1,evaluations-302e4c76b7f9
openai/gpt-4o,dea47e3c90d4,false_label_1,Gemini,Claude,1,0,0,2,1,evaluations-149ca1c8fb6d
openai/gpt-4o,dea47e3c90d4,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-867a6e2cee1d
openai/gpt-4o,5167ae82d662,none,Gemini,unattributed,0,1,0,3,1,evaluations-e5de5faef24a
openai/gpt-4o,5167ae82d662,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-8d798b6ba43a
openai/gpt-4o,5167ae82d662,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-05ff00f65791
openai/gpt-4o,5167ae82d662,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-182a1474bacc
openai/gpt-4o,a3717f0fc687,none,Claude,unattributed,1,0,0,2,1,evaluations-f1d0f735fbfc
openai/gpt-4o,a3717f0fc687,true_label,Claude,Claude,0,0,0,0,0,evaluations-27a57bdad54c
openai/gpt-4o,a3717f0fc687,false_label_1,Claude,ChatGPT,1,0,0,2,1,evaluations-5606eff21a27
openai/gpt-4o,a3717f0fc687,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-6dd0be88de23
openai/gpt-4o,29dd7d832d26,none,Claude,unattributed,0,0,0,0,0,evaluations-efebc30dd97d
openai/gpt-4o,29dd7d832d26,true_label,Claude,Claude,1,0,0,2,1,evaluations-be8f7c7695d2
openai/gpt-4o,29dd7d832d26,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-02d7ee30a711
openai/gpt-4o,29dd7d832d26,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-01d11bc3f525
openai/gpt-4o,381d4a01e0af,none,Claude,unattributed,0,0,0,0,0,evaluations-513469347a9c
openai/gpt-4o,381d4a01e0af,true_label,Claude,Claude,0,0,0,0,0,evaluations-c24f0738526f
openai/gpt-4o,381d4a01e0af,false_label_1,Claude,ChatGPT,2,1,0,7,3,evaluations-288c7f1a4ffb
openai/gpt-4o,381d4a01e0af,false_label_2,Claude,Gemini,0,0,1,5,1,evaluations-a7b333a1f91c
openai/gpt-4o,0587b76aea95,none,Claude,unattributed,1,0,0,2,1,evaluations-e3344128d5f3
openai/gpt-4o,0587b76aea95,true_label,Claude,Claude,1,0,0,2,1,evaluations-2b516d78f020
openai/gpt-4o,0587b76aea95,false_label_1,Claude,ChatGPT,1,0,0,2,1,evaluations-4eb7f3b9fcee
openai/gpt-4o,0587b76aea95,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-791f81e4c8d3
openai/gpt-4o,9f285ebdf405,none,Claude,unattributed,0,0,0,0,0,evaluations-3214e8567d27
openai/gpt-4o,9f285ebdf405,true_label,Claude,Claude,0,1,0,3,1,evaluations-ee3d60d7ab33
openai/gpt-4o,9f285ebdf405,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-0e2fdd1b72b0
openai/gpt-4o,9f285ebdf405,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-d023e722a12b
google/gemini-2.5-flash,9ced5123dca8,none,ChatGPT,unattributed,0,0,0,0,0,evaluations-c1bb5927da50
google/gemini-2.5-flash,9ced5123dca8,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-f04295c47d66
google/gemini-2.5-flash,9ced5123dca8,false_label_1,ChatGPT,Gemini,2,0,0,4,2,evaluations-3b6427672eeb
google/gemini-2.5-flash,9ced5123dca8,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-bab8608a9dde
google/gemini-2.5-flash,8cd35eb9b9e8,none,ChatGPT,unattributed,0,0,0,0,0,evaluations-77f5a99d7679
google/gemini-2.5-flash,8cd35eb9b9e8,true_label,ChatGPT,ChatGPT,2,0,0,4,2,evaluations-1623f5773213
google/gemini-2.5-flash,8cd35eb9b9e8,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-145d92f827e6
google/gemini-2.5-flash,8cd35eb9b9e8,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-960ed9773bcb
google/gemini-2.5-flash,b659fb81dbcc,none,ChatGPT,unattributed,0,0,0,0,0,evaluations-29166d860fb2
google/gemini-2.5-flash,b659fb81dbcc,true_label,ChatGPT,ChatGPT,1,0,0,2,1,evaluations-a529d6a45cf3
google/gemini-2.5-flash,b659fb81dbcc,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-a9074c023fe9
google/gemini-2.5-flash,b659fb81dbcc,false_label_2,ChatGPT,Claude,1,1,0,5,2,evaluations-8a54e87a1557
google/gemini-2.5-flash,7ee6bcc30d1c,none,ChatGPT,unattributed,1,0,0,2,1,evaluations-39d9f7819c6e
google/gemini-2.5-flash,7ee6bcc30d1c,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-53e8b2258eaf
google/gemini-2.5-flash,7ee6bcc30d1c,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-daea14f73361
google/gemini-2.5-flash,7ee6bcc30d1c,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-e9bcbe6412fc
google/gemini-2.5-flash,5950521ed469,none,ChatGPT,unattributed,1,0,0,2,1,evaluations-a00376dbfcf2
google/gemini-2.5-flash,5950521ed469,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-1c6d8b9645b2
google/gemini-2.5-flash,5950521ed469,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-d1bde961f95a
google/gemini-2.5-flash,5950521ed469,false_label_2,ChatGPT,Claude,1,0,0,2,1,evaluations-8fcc3098d443
google/gemini-2.5-flash,6f84aea89387,none,Gemini,unattributed,0,0,0,0,0,evaluations-4792e1f48a7a
google/gemini-2.5-flash,6f84aea89387,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-648d99064a60
google/gemini-2.5-flash,6f84aea89387,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-848c26fba50b
google/gemini-2.5-flash,6f84aea89387,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-10d03f6f0ead
google/gemini-2.5-flash,60270a891b7a,none,Gemini,unattributed,1,0,0,2,1,evaluations-fc89b42390a6
google/gemini-2.5-flash,60270a891b7a,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-6bf314c3707a
google/gemini-2.5-flash,60270a891b7a,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-b75ae6878305
google/gemini-2.5-flash,60270a891b7a,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-a6c53ec6746c
google/gemini-2.5-flash,b4d99bfad887,none,Gemini,unattributed,0,0,0,0,0,evaluations-31cef5b2ab8f
google/gemini-2.5-flash,b4d99bfad887,true_label,Gemini,Gemini,1,0,0,2,1,evaluations-55614321f484
google/gemini-2.5-flash,b4d99bfad887,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-a381551d1c37
google/gemini-2.5-flash,b4d99bfad887,false_label_2,Gemini,ChatGPT,1,0,0,2,1,evaluations-7a0c25c638b9
google/gemini-2.5-flash,dea47e3c90d4,none,Gemini,unattributed,0,0,0,0,0,evaluations-5b549dbad593
google/gemini-2.5-flash,dea47e3c90d4,true_label,Gemini,Gemini,1,1,0,5,2,evaluations-e928db744a52
google/gemini-2.5-flash,dea47e3c90d4,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-5573636d621b
google/gemini-2.5-flash,dea47e3c90d4,false_label_2,Gemini,ChatGPT,0,1,0,3,1,evaluations-28ba1f8afe18
google/gemini-2.5-flash,5167ae82d662,none,Gemini,unattributed,0,0,0,0,0,evaluations-c69bc61dec80
google/gemini-2.5-flash,5167ae82d662,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-32db4b36b3dc
google/gemini-2.5-flash,5167ae82d662,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-d35d596f3c93
google/gemini-2.5-flash,5167ae82d662,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-08d46b0894aa
google/gemini-2.5-flash,a3717f0fc687,none,Claude,unattributed,0,0,0,0,0,evaluations-5c0e33dd6b11
google/gemini-2.5-flash,a3717f0fc687,true_label,Claude,Claude,0,0,0,0,0,evaluations-9727c7078237
google/gemini-2.5-flash,a3717f0fc687,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-3db2a224a2a9
google/gemini-2.5-flash,a3717f0fc687,false_label_2,Claude,Gemini,1,1,0,5,2,evaluations-7d8b761954d6
google/gemini-2.5-flash,29dd7d832d26,none,Claude,unattributed,2,0,0,4,2,evaluations-50f7b34f712f
google/gemini-2.5-flash,29dd7d832d26,true_label,Claude,Claude,0,0,0,0,0,evaluations-a387698bfc77
google/gemini-2.5-flash,29dd7d832d26,false_label_1,Claude,ChatGPT,1,0,0,2,1,evaluations-273c3af31bcd
google/gemini-2.5-flash,29dd7d832d26,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-5c5fda966776
google/gemini-2.5-flash,381d4a01e0af,none,Claude,unattributed,0,0,0,0,0,evaluations-01d3869dbab8
google/gemini-2.5-flash,381d4a01e0af,true_label,Claude,Claude,0,0,0,0,0,evaluations-b68e220fd9e3
google/gemini-2.5-flash,381d4a01e0af,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-7c4c6e3c3eb3
google/gemini-2.5-flash,381d4a01e0af,false_label_2,Claude,Gemini,0,1,0,3,1,evaluations-053bca06f73e
google/gemini-2.5-flash,0587b76aea95,none,Claude,unattributed,0,0,0,0,0,evaluations-152088277549
google/gemini-2.5-flash,0587b76aea95,true_label,Claude,Claude,0,0,0,0,0,evaluations-0ff077705b5c
google/gemini-2.5-flash,0587b76aea95,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-d5f619e84996
google/gemini-2.5-flash,0587b76aea95,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-b9da766fff70
google/gemini-2.5-flash,9f285ebdf405,none,Claude,unattributed,0,1,0,3,1,evaluations-a4d8083a750b
google/gemini-2.5-flash,9f285ebdf405,true_label,Claude,Claude,0,0,0,0,0,evaluations-36a185bdc961
google/gemini-2.5-flash,9f285ebdf405,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-ed74f8658619
google/gemini-2.5-flash,9f285ebdf405,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-8025ea90dbc3
anthropic/claude-sonnet-4,9ced5123dca8,none,ChatGPT,unattributed,2,0,0,4,2,evaluations-489d4274567f
anthropic/claude-sonnet-4,9ced5123dca8,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-9f8f3cc15ed9
anthropic/claude-sonnet-4,9ced5123dca8,false_label_1,ChatGPT,Gemini,1,1,0,5,2,evaluations-85a46ea791ad
anthropic/claude-sonnet-4,9ced5123dca8,false_label_2,ChatGPT,Claude,1,0,0,2,1,evaluations-6e66c5eac4dd
anthropic/claude-sonnet-4,8cd35eb9b9e8,none,ChatGPT,unattributed,1,0,0,2,1,evaluations-424b7208cf40
anthropic/claude-sonnet-4,8cd35eb9b9e8,true_label,ChatGPT,ChatGPT,0,1,0,3,1,evaluations-fa8d5f22e749
anthropic/claude-sonnet-4,8cd35eb9b9e8,false_label_1,ChatGPT,Gemini,1,1,0,5,2,evaluations-77bd385f1338
anthropic/claude-sonnet-4,8cd35eb9b9e8,false_label_2,ChatGPT,Claude,0,1,0,3,1,evaluations-7124d198cc99
anthropic/claude-sonnet-4,b659fb81dbcc,none,ChatGPT,unattributed,0,0,1,5,1,evaluations-3f01839d5a96
anthropic/claude-sonnet-4,b659fb81dbcc,true_label,ChatGPT,ChatGPT,0,0,1,5,1,evaluations-db23affb4477
anthropic/claude-sonnet-4,b659fb81dbcc,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-e3e5a76c9eab
anthropic/claude-sonnet-4,b659fb81dbcc,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-7e6d988e3d94
anthropic/claude-sonnet-4,7ee6bcc30d1c,none,ChatGPT,unattributed,0,0,0,0,0,evaluations-c8acb202fd7f
anthropic/claude-sonnet-4,7ee6bcc30d1c,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-eaa34a6a538d
anthropic/claude-sonnet-4,7ee6bcc30d1c,false_label_1,ChatGPT,Gemini,0,1,0,3,1,evaluations-66652b39d0ef
anthropic/claude-sonnet-4,7ee6bcc30d1c,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-f5747b6680ce
anthropic/claude-sonnet-4,5950521ed469,none,ChatGPT,unattributed,0,1,1,8,2,evaluations-c3394e0b3cbd
anthropic/claude-sonnet-4,5950521ed469,true_label,ChatGPT,ChatGPT,0,1,0,3,1,evaluations-62f37cf9fe33
anthropic/claude-sonnet-4,5950521ed469,false_label_1,ChatGPT,Gemini,0,1,0,3,1,evaluations-ebff5bf20c35
anthropic/claude-sonnet-4,5950521ed469,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-60e1f92fe0e1
anthropic/claude-sonnet-4,6f84aea89387,none,Gemini,unattributed,1,1,0,5,2,evaluations-7d02791ad255
anthropic/claude-sonnet-4,6f84aea89387,true_label,Gemini,Gemini,1,0,0,2,1,evaluations-8c3fa1b243d0
anthropic/claude-sonnet-4,6f84aea89387,false_label_1,Gemini,Claude,1,1,0,5,2,evaluations-497591406c05
anthropic/claude-sonnet-4,6f84aea89387,false_label_2,Gemini,ChatGPT,1,0,0,2,1,evaluations-9de54feceabb
anthropic/claude-sonnet-4,60270a891b7a,none,Gemini,unattributed,0,0,0,0,0,evaluations-4357b06d5623
anthropic/claude-sonnet-4,60270a891b7a,true_label,Gemini,Gemini,2,0,0,4,2,evaluations-d926b4218256
anthropic/claude-sonnet-4,60270a891b7a,false_label_1,Gemini,Claude,1,0,0,2,1,evaluations-af9aec44d03b
anthropic/claude-sonnet-4,60270a891b7a,false_label_2,Gemini,ChatGPT,1,1,0,5,2,evaluations-548e92520322
anthropic/claude-sonnet-4,b4d99bfad887,none,Gemini,unattributed,1,1,0,5,2,evaluations-0668bbe3f7c3
anthropic/claude-sonnet-4,b4d99bfad887,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-69a9b0b23ad6
anthropic/claude-sonnet-4,b4d99bfad887,false_label_1,Gemini,Claude,2,0,0,4,2,evaluations-198c93a485fc
anthropic/claude-sonnet-4,b4d99bfad887,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-a6adc9e58336
anthropic/claude-sonnet-4,dea47e3c90d4,none,Gemini,unattributed,0,0,0,0,0,evaluations-6d26cd13780c
anthropic/claude-sonnet-4,dea47e3c90d4,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-c40e81e265bb
anthropic/claude-sonnet-4,dea47e3c90d4,false_label_1,Gemini,Claude,0,1,0,3,1,evaluations-e35ba53f2cc7
anthropic/claude-sonnet-4,dea47e3c90d4,false_label_2,Gemini,ChatGPT,1,0,0,2,1,evaluations-157b67f95628
anthropic/claude-sonnet-4,5167ae82d662,none,Gemini,unattributed,0,0,0,0,0,evaluations-262f621b9a60
anthropic/claude-sonnet-4,5167ae82d662,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-8a08104771ae
anthropic/claude-sonnet-4,5167ae82d662,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-98033290337d
anthropic/claude-sonnet-4,5167ae82d662,false_label_2,Gemini,ChatGPT,0,0,0,0,0,evaluations-457bea871d67
anthropic/claude-sonnet-4,a3717f0fc687,none,Claude,unattributed,1,1,0,5,2,evaluations-d44e8a36c318
anthropic/claude-sonnet-4,a3717f0fc687,true_label,Claude,Claude,1,1,0,5,2,evaluations-4ca3855748fc
anthropic/claude-sonnet-4,a3717f0fc687,false_label_1,Claude,ChatGPT,1,0,0,2,1,evaluations-36f497aff355
anthropic/claude-sonnet-4,a3717f0fc687,false_label_2,Claude,Gemini,1,0,0,2,1,evaluations-6d20f2bcb966
anthropic/claude-sonnet-4,29dd7d832d26,none,Claude,unattributed,1,0,0,2,1,evaluations-55422f82a444
anthropic/claude-sonnet-4,29dd7d832d26,true_label,Claude,Claude,2,0,0,4,2,evaluations-5477f2ac888e
anthropic/claude-sonnet-4,29dd7d832d26,false_label_1,Claude,ChatGPT,2,0,0,4,2,evaluations-8c2200e2fd47
anthropic/claude-sonnet-4,29dd7d832d26,false_label_2,Claude,Gemini,2,1,0,7,3,evaluations-0cba04d674c2
anthropic/claude-sonnet-4,381d4a01e0af,none,Claude,unattributed,2,0,0,4,2,evaluations-02522d4ba1f5
anthropic/claude-sonnet-4,381d4a01e0af,true_label,Claude,Claude,0,1,0,3,1,evaluations-d32bfe42ae2a
anthropic/claude-sonnet-4,381d4a01e0af,false_label_1,Claude,ChatGPT,1,1,0,5,2,evaluations-3a5afa360cb2
anthropic/claude-sonnet-4,381d4a01e0af,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-5926f8cd1e88
anthropic/claude-sonnet-4,0587b76aea95,none,Claude,unattributed,0,0,0,0,0,evaluations-dda25dec388e
anthropic/claude-sonnet-4,0587b76aea95,true_label,Claude,Claude,1,0,0,2,1,evaluations-14c2b2f04802
anthropic/claude-sonnet-4,0587b76aea95,false_label_1,Claude,ChatGPT,0,0,0,0,0,evaluations-3075bd22881a
anthropic/claude-sonnet-4,0587b76aea95,false_label_2,Claude,Gemini,0,1,0,3,1,evaluations-678d25d6e902
anthropic/claude-sonnet-4,9f285ebdf405,none,Claude,unattributed,1,0,0,2,1,evaluations-5df4a5cb2444
anthropic/claude-sonnet-4,9f285ebdf405,true_label,Claude,Claude,1,0,0,2,1,evaluations-fbaf328648fe
anthropic/claude-sonnet-4,9f285ebdf405,false_label_1,Claude,ChatGPT,1,0,0,2,1,evaluations-a16786dfe3b7
anthropic/claude-sonnet-4,9f285ebdf405,false_label_2,Claude,Gemini,0,0,0,0,0,evaluations-de03e770b1a3
