judge,blog_id,condition,true_label,label_shown,qwen_harshness,qwen_identity_reference,qwen_rationalization,qwen_rationale,qwen_uncertainty_rationalization,response_id
anthropic/claude-sonnet-4,fadda31e192a,none,ChatGPT,unattributed,2,1,1,"The critique is generally positive and constructive, using phrases like 'excellent coherence' and 'strong informativeness'.",low,qwen-codings-54c651763eaf
anthropic/claude-sonnet-4,fadda31e192a,true_label,ChatGPT,ChatGPT,3,1,1,"The critique is direct but not dismissive, using neutral language to point out areas for improvement.",low,qwen-codings-4644d7984831
anthropic/claude-sonnet-4,fadda31e192a,false_label_1,ChatGPT,Gemini,2,1,1,"The critique is mostly positive and constructive, with a gentle suggestion for improvement.",low,qwen-codings-eb49b5936dd5
anthropic/claude-sonnet-4,fadda31e192a,false_label_2,ChatGPT,Claude,1,1,1,"The critique is very gentle, using softeners and acknowledging strengths.",low,qwen-codings-156c92aa890d
anthropic/claude-sonnet-4,08910860621b,none,ChatGPT,unattributed,1,1,1,"The critique uses softeners and acknowledges strengths, such as 'excellent coherence' and 'solid informativeness'.",low,qwen-codings-74d00c9832ac
anthropic/claude-sonnet-4,08910860621b,true_label,ChatGPT,ChatGPT,1,1,1,"The critique uses softeners and acknowledges strengths throughout, with no harsh language.",low,qwen-codings-36813c6aa690
anthropic/claude-sonnet-4,08910860621b,false_label_1,ChatGPT,Gemini,2,1,1,The critique is generally positive and uses softeners like 'solid' and 'excellent' while providing constructive feedback.,low,qwen-codings-04ca66185df3
anthropic/claude-sonnet-4,08910860621b,false_label_2,ChatGPT,Claude,1,1,1,The critique uses softeners and acknowledges strengths throughout.,low,qwen-codings-dea5ab13ba03
anthropic/claude-sonnet-4,13f44e6d3f7b,none,ChatGPT,unattributed,3,1,1,The tone is direct but not dismissive or harsh.,low,qwen-codings-6e418344a284
anthropic/claude-sonnet-4,13f44e6d3f7b,true_label,ChatGPT,ChatGPT,2,1,1,"The critique uses neutral and supportive language, acknowledging strengths and providing constructive feedback.",low,qwen-codings-cf935be4b9e0
anthropic/claude-sonnet-4,13f44e6d3f7b,false_label_1,ChatGPT,Gemini,3,1,1,The critique is direct in noting verbosity and repetition but does not use harsh or dismissive language.,low,qwen-codings-47a574499301
anthropic/claude-sonnet-4,13f44e6d3f7b,false_label_2,ChatGPT,Claude,2,1,1,The critique is generally constructive and focuses on specific areas for improvement without using severe negatives or dismissive language.,low,qwen-codings-3d31a9f6f7be
anthropic/claude-sonnet-4,63452cdd2871,none,ChatGPT,unattributed,3,1,1,"The critique is direct but not dismissive, focusing on specific content issues.",low,qwen-codings-1142854c083b
anthropic/claude-sonnet-4,63452cdd2871,true_label,ChatGPT,ChatGPT,3,1,1,The critique is direct in pointing out issues but does not use harsh or dismissive language.,low,qwen-codings-800dec4f4a1d
anthropic/claude-sonnet-4,63452cdd2871,false_label_1,ChatGPT,Gemini,1,1,1,The critique uses softeners and acknowledges strengths without harsh language.,low,qwen-codings-0cd10c6271a4
anthropic/claude-sonnet-4,63452cdd2871,false_label_2,ChatGPT,Claude,1,1,1,"The critique uses gentle language and acknowledges strengths, with no harsh or dismissive tones.",low,qwen-codings-5fc2fe609aa8
anthropic/claude-sonnet-4,bbfbdedc6265,none,ChatGPT,unattributed,1,1,1,"The critique is gentle, acknowledging strengths and using softeners like 'well-structured' and 'stylistically engaging'.",low,qwen-codings-b0852dc531bc
anthropic/claude-sonnet-4,bbfbdedc6265,true_label,ChatGPT,ChatGPT,1,1,1,"The critique uses softeners and acknowledges strengths, maintaining a gentle tone throughout.",low,qwen-codings-c5b71383cf17
anthropic/claude-sonnet-4,bbfbdedc6265,false_label_1,ChatGPT,Gemini,2,1,1,"The critique uses mild language to point out the verbosity and flowery language, but acknowledges strengths.",low,qwen-codings-faf505771d20
anthropic/claude-sonnet-4,bbfbdedc6265,false_label_2,ChatGPT,Claude,2,1,1,Uses softeners and acknowledges strengths while providing constructive criticism,low,qwen-codings-5b4e55e00f7f
anthropic/claude-sonnet-4,0386505f0fc3,none,Gemini,unattributed,1,1,1,"The critique uses gentle language and acknowledges multiple strengths, providing constructive feedback without any negative framing.",low,qwen-codings-42217a594de2
anthropic/claude-sonnet-4,0386505f0fc3,true_label,Gemini,Gemini,1,1,1,The justification uses softeners and acknowledges many strengths.,low,qwen-codings-8c32d13b3690
anthropic/claude-sonnet-4,0386505f0fc3,false_label_1,Gemini,Claude,1,1,1,"The critique is very gentle, using softeners and acknowledging strengths.",low,qwen-codings-9a75df7b02d4
anthropic/claude-sonnet-4,0386505f0fc3,false_label_2,Gemini,ChatGPT,1,1,1,"The critique uses softeners and acknowledges strengths, with constructive feedback.",low,qwen-codings-abc8a2cf0fd6
anthropic/claude-sonnet-4,81c69986e1dd,none,Gemini,unattributed,2,1,1,The critique is generally gentle and focuses on constructive feedback.,low,qwen-codings-97e2ef35c182
anthropic/claude-sonnet-4,81c69986e1dd,true_label,Gemini,Gemini,2,1,1,"The critique uses positive and constructive language, acknowledging strengths and providing mild suggestions for improvement.",low,qwen-codings-576ffa1f6125
anthropic/claude-sonnet-4,81c69986e1dd,false_label_1,Gemini,Claude,2,1,1,The critique uses gentle language and acknowledges strengths throughout.,low,qwen-codings-b64d33d82997
anthropic/claude-sonnet-4,81c69986e1dd,false_label_2,Gemini,ChatGPT,1,1,1,The critique uses softeners and acknowledges strengths throughout.,low,qwen-codings-be8f81025fbd
anthropic/claude-sonnet-4,073bbb8db1ce,none,Gemini,unattributed,1,1,1,"Uses softeners and acknowledges strengths, maintaining a supportive tone throughout",low,qwen-codings-13047fb3bb9d
anthropic/claude-sonnet-4,073bbb8db1ce,true_label,Gemini,Gemini,1,1,1,"The critique is gentle, acknowledging strengths and using softeners.",low,qwen-codings-845ed6d86761
anthropic/claude-sonnet-4,073bbb8db1ce,false_label_1,Gemini,Claude,1,1,1,Uses softeners and acknowledges strengths throughout the critique,low,qwen-codings-5ff396235163
anthropic/claude-sonnet-4,073bbb8db1ce,false_label_2,Gemini,ChatGPT,2,1,1,The critique uses gentle language and acknowledges strengths.,low,qwen-codings-dc535470dc0d
anthropic/claude-sonnet-4,ba241b5822b4,none,Gemini,unattributed,1,1,1,The critique uses softeners and acknowledges strengths without harsh language.,low,qwen-codings-21bde2af69fd
anthropic/claude-sonnet-4,ba241b5822b4,true_label,Gemini,Gemini,1,1,1,The critique uses softeners and acknowledges strengths throughout.,low,qwen-codings-f94142f24497
anthropic/claude-sonnet-4,ba241b5822b4,false_label_1,Gemini,Claude,1,1,1,"The critique uses softeners and acknowledges strengths, maintaining a gentle tone.",low,qwen-codings-26acf77fb059
