id,category,timestamp_utc,model,key_inputs,status_code
evaluations-784292fbc30e,evaluations,2026-05-09T19:09:09Z,openai/gpt-4o,openai/gpt-4o|def716dad417|none,200
evaluations-1f535acaae9e,evaluations,2026-05-09T19:09:11Z,openai/gpt-4o,openai/gpt-4o|def716dad417|true_label,200
evaluations-98bc1af8d8a4,evaluations,2026-05-09T19:09:14Z,openai/gpt-4o,openai/gpt-4o|def716dad417|false_label_1,200
evaluations-f5ab1b41a07c,evaluations,2026-05-09T19:09:16Z,openai/gpt-4o,openai/gpt-4o|def716dad417|false_label_2,200
evaluations-554c7f1526f6,evaluations,2026-05-09T19:09:18Z,openai/gpt-4o,openai/gpt-4o|69797564b334|none,200
evaluations-596b01039f17,evaluations,2026-05-09T19:09:20Z,openai/gpt-4o,openai/gpt-4o|69797564b334|true_label,200
evaluations-f34e0c5f83c1,evaluations,2026-05-09T19:09:22Z,openai/gpt-4o,openai/gpt-4o|69797564b334|false_label_1,200
evaluations-0460a0475fce,evaluations,2026-05-09T19:09:24Z,openai/gpt-4o,openai/gpt-4o|69797564b334|false_label_2,200
evaluations-4b5a97e4bef3,evaluations,2026-05-09T19:09:27Z,openai/gpt-4o,openai/gpt-4o|5fb48fe7c420|none,200
evaluations-4648b6e8cfe7,evaluations,2026-05-09T19:09:29Z,openai/gpt-4o,openai/gpt-4o|5fb48fe7c420|true_label,200
evaluations-e8b57b5118d0,evaluations,2026-05-09T19:09:32Z,openai/gpt-4o,openai/gpt-4o|5fb48fe7c420|false_label_1,200
evaluations-e2777300a2f3,evaluations,2026-05-09T19:09:34Z,openai/gpt-4o,openai/gpt-4o|5fb48fe7c420|false_label_2,200
evaluations-39f98882b354,evaluations,2026-05-09T19:09:37Z,openai/gpt-4o,openai/gpt-4o|9445101b6bfa|none,200
evaluations-33c8916d8532,evaluations,2026-05-09T19:09:38Z,openai/gpt-4o,openai/gpt-4o|9445101b6bfa|true_label,200
evaluations-fd4e3d8996f8,evaluations,2026-05-09T19:09:41Z,openai/gpt-4o,openai/gpt-4o|9445101b6bfa|false_label_1,200
evaluations-fe75618f5878,evaluations,2026-05-09T19:09:43Z,openai/gpt-4o,openai/gpt-4o|9445101b6bfa|false_label_2,200
evaluations-e8ae454d51d2,evaluations,2026-05-09T19:09:46Z,openai/gpt-4o,openai/gpt-4o|999bb4623f49|none,200
evaluations-4849a42fdf34,evaluations,2026-05-09T19:09:48Z,openai/gpt-4o,openai/gpt-4o|999bb4623f49|true_label,200
evaluations-2c8c4adf0fa4,evaluations,2026-05-09T19:09:51Z,openai/gpt-4o,openai/gpt-4o|999bb4623f49|false_label_1,200
evaluations-d2b00fb06e56,evaluations,2026-05-09T19:09:54Z,openai/gpt-4o,openai/gpt-4o|999bb4623f49|false_label_2,200
evaluations-fa0f04e301fc,evaluations,2026-05-09T19:10:08Z,google/gemini-2.5-flash,google/gemini-2.5-flash|fadda31e192a|none,200
evaluations-a4eb37c2c55b,evaluations,2026-05-09T19:10:10Z,google/gemini-2.5-flash,google/gemini-2.5-flash|fadda31e192a|true_label,200
evaluations-8dd1c62dc402,evaluations,2026-05-09T19:10:13Z,google/gemini-2.5-flash,google/gemini-2.5-flash|fadda31e192a|false_label_1,200
evaluations-64a10abff506,evaluations,2026-05-09T19:10:16Z,google/gemini-2.5-flash,google/gemini-2.5-flash|fadda31e192a|false_label_2,200
evaluations-b63bbe8cdc95,evaluations,2026-05-09T19:10:18Z,google/gemini-2.5-flash,google/gemini-2.5-flash|08910860621b|none,200
evaluations-4caf023edc9c,evaluations,2026-05-09T19:10:20Z,google/gemini-2.5-flash,google/gemini-2.5-flash|08910860621b|true_label,200
evaluations-e05cded48e8f,evaluations,2026-05-09T19:10:22Z,google/gemini-2.5-flash,google/gemini-2.5-flash|08910860621b|false_label_1,200
evaluations-3e3ba78d9b76,evaluations,2026-05-09T19:10:23Z,google/gemini-2.5-flash,google/gemini-2.5-flash|08910860621b|false_label_2,200
evaluations-3f753cae2bda,evaluations,2026-05-09T19:10:26Z,google/gemini-2.5-flash,google/gemini-2.5-flash|13f44e6d3f7b|none,200
evaluations-b800a194d3cd,evaluations,2026-05-09T19:10:29Z,google/gemini-2.5-flash,google/gemini-2.5-flash|13f44e6d3f7b|true_label,200
evaluations-c7ca04117c7e,evaluations,2026-05-09T19:10:30Z,google/gemini-2.5-flash,google/gemini-2.5-flash|13f44e6d3f7b|false_label_1,200
evaluations-cd2eecaa99f4,evaluations,2026-05-09T19:10:31Z,google/gemini-2.5-flash,google/gemini-2.5-flash|13f44e6d3f7b|false_label_2,200
evaluations-8dca1f7f1d1b,evaluations,2026-05-09T19:10:33Z,google/gemini-2.5-flash,google/gemini-2.5-flash|63452cdd2871|none,200
evaluations-f0a6281790bb,evaluations,2026-05-09T19:10:35Z,google/gemini-2.5-flash,google/gemini-2.5-flash|63452cdd2871|true_label,200
evaluations-c9c10a3d295c,evaluations,2026-05-09T19:10:36Z,google/gemini-2.5-flash,google/gemini-2.5-flash|63452cdd2871|false_label_1,200
evaluations-aea24703517a,evaluations,2026-05-09T19:10:38Z,google/gemini-2.5-flash,google/gemini-2.5-flash|63452cdd2871|false_label_2,200
evaluations-ac78287b37d4,evaluations,2026-05-09T19:10:41Z,google/gemini-2.5-flash,google/gemini-2.5-flash|bbfbdedc6265|none,200
evaluations-8fff9cefa221,evaluations,2026-05-09T19:10:45Z,google/gemini-2.5-flash,google/gemini-2.5-flash|bbfbdedc6265|true_label,200
evaluations-0da8ce3766d5,evaluations,2026-05-09T19:10:46Z,google/gemini-2.5-flash,google/gemini-2.5-flash|bbfbdedc6265|false_label_1,200
evaluations-9a4b1f746d41,evaluations,2026-05-09T19:10:48Z,google/gemini-2.5-flash,google/gemini-2.5-flash|bbfbdedc6265|false_label_2,200
evaluations-5262dd15d841,evaluations,2026-05-09T19:10:49Z,google/gemini-2.5-flash,google/gemini-2.5-flash|0386505f0fc3|none,200
evaluations-81c4ac2f17cd,evaluations,2026-05-09T19:10:51Z,google/gemini-2.5-flash,google/gemini-2.5-flash|0386505f0fc3|true_label,200
evaluations-b5cb0f28ac51,evaluations,2026-05-09T19:10:53Z,google/gemini-2.5-flash,google/gemini-2.5-flash|0386505f0fc3|false_label_1,200
evaluations-af860dc494f3,evaluations,2026-05-09T19:11:02Z,google/gemini-2.5-flash,google/gemini-2.5-flash|0386505f0fc3|false_label_2,200
evaluations-98abe0b2063d,evaluations,2026-05-09T19:11:03Z,google/gemini-2.5-flash,google/gemini-2.5-flash|81c69986e1dd|none,200
evaluations-ac9b0baa398d,evaluations,2026-05-09T19:11:06Z,google/gemini-2.5-flash,google/gemini-2.5-flash|81c69986e1dd|true_label,200
evaluations-49dc6731032f,evaluations,2026-05-09T19:11:07Z,google/gemini-2.5-flash,google/gemini-2.5-flash|81c69986e1dd|false_label_1,200
evaluations-7788a0332525,evaluations,2026-05-09T19:11:10Z,google/gemini-2.5-flash,google/gemini-2.5-flash|81c69986e1dd|false_label_2,200
evaluations-f4e992064073,evaluations,2026-05-09T19:11:12Z,google/gemini-2.5-flash,google/gemini-2.5-flash|073bbb8db1ce|none,200
evaluations-230dd60cc7f5,evaluations,2026-05-09T19:11:14Z,google/gemini-2.5-flash,google/gemini-2.5-flash|073bbb8db1ce|true_label,200
evaluations-371970c2ffb1,evaluations,2026-05-09T19:11:17Z,google/gemini-2.5-flash,google/gemini-2.5-flash|073bbb8db1ce|false_label_1,200
evaluations-fe94cbeeb264,evaluations,2026-05-09T19:11:19Z,google/gemini-2.5-flash,google/gemini-2.5-flash|073bbb8db1ce|false_label_2,200
evaluations-befe94ebea25,evaluations,2026-05-09T19:11:21Z,google/gemini-2.5-flash,google/gemini-2.5-flash|ba241b5822b4|none,200
evaluations-24aa28b04125,evaluations,2026-05-09T19:11:23Z,google/gemini-2.5-flash,google/gemini-2.5-flash|ba241b5822b4|true_label,200
evaluations-769b1d0023c6,evaluations,2026-05-09T19:11:25Z,google/gemini-2.5-flash,google/gemini-2.5-flash|ba241b5822b4|false_label_1,200
evaluations-fff3cd42f124,evaluations,2026-05-09T19:11:26Z,google/gemini-2.5-flash,google/gemini-2.5-flash|ba241b5822b4|false_label_2,200
evaluations-72cfc27e823e,evaluations,2026-05-09T19:11:28Z,google/gemini-2.5-flash,google/gemini-2.5-flash|627b8e7ddfdd|none,200
evaluations-e74bc60ed415,evaluations,2026-05-09T19:11:30Z,google/gemini-2.5-flash,google/gemini-2.5-flash|627b8e7ddfdd|true_label,200
evaluations-91b1fcef34fd,evaluations,2026-05-09T19:11:33Z,google/gemini-2.5-flash,google/gemini-2.5-flash|627b8e7ddfdd|false_label_1,200
evaluations-8ed5f7b6b3ea,evaluations,2026-05-09T19:11:35Z,google/gemini-2.5-flash,google/gemini-2.5-flash|627b8e7ddfdd|false_label_2,200
evaluations-874792fe581a,evaluations,2026-05-09T19:11:37Z,google/gemini-2.5-flash,google/gemini-2.5-flash|def716dad417|none,200
evaluations-7d503605225f,evaluations,2026-05-09T19:11:38Z,google/gemini-2.5-flash,google/gemini-2.5-flash|def716dad417|true_label,200
evaluations-76ba637f837e,evaluations,2026-05-09T19:11:41Z,google/gemini-2.5-flash,google/gemini-2.5-flash|def716dad417|false_label_1,200
evaluations-151abc1be5f2,evaluations,2026-05-09T19:11:42Z,google/gemini-2.5-flash,google/gemini-2.5-flash|def716dad417|false_label_2,200
evaluations-08f7586fd158,evaluations,2026-05-09T19:11:44Z,google/gemini-2.5-flash,google/gemini-2.5-flash|69797564b334|none,200
evaluations-aa985e61540c,evaluations,2026-05-09T19:11:45Z,google/gemini-2.5-flash,google/gemini-2.5-flash|69797564b334|true_label,200
evaluations-be1ad85ccfc2,evaluations,2026-05-09T19:11:47Z,google/gemini-2.5-flash,google/gemini-2.5-flash|69797564b334|false_label_1,200
evaluations-3c7bd06ff61e,evaluations,2026-05-09T19:11:51Z,google/gemini-2.5-flash,google/gemini-2.5-flash|69797564b334|false_label_2,200
evaluations-1cdf5bbfbf32,evaluations,2026-05-09T19:11:53Z,google/gemini-2.5-flash,google/gemini-2.5-flash|5fb48fe7c420|none,200
evaluations-73206bb34c5c,evaluations,2026-05-09T19:11:54Z,google/gemini-2.5-flash,google/gemini-2.5-flash|5fb48fe7c420|true_label,200
evaluations-cd2711f0f392,evaluations,2026-05-09T19:11:56Z,google/gemini-2.5-flash,google/gemini-2.5-flash|5fb48fe7c420|false_label_1,200
evaluations-6ec2d41fcb2f,evaluations,2026-05-09T19:11:58Z,google/gemini-2.5-flash,google/gemini-2.5-flash|5fb48fe7c420|false_label_2,200
evaluations-d50de2befec4,evaluations,2026-05-09T19:12:00Z,google/gemini-2.5-flash,google/gemini-2.5-flash|9445101b6bfa|none,200
evaluations-c13f36189f5b,evaluations,2026-05-09T19:12:02Z,google/gemini-2.5-flash,google/gemini-2.5-flash|9445101b6bfa|true_label,200
evaluations-bea1313b4231,evaluations,2026-05-09T19:12:04Z,google/gemini-2.5-flash,google/gemini-2.5-flash|9445101b6bfa|false_label_1,200
evaluations-0c4159be80d5,evaluations,2026-05-09T19:12:05Z,google/gemini-2.5-flash,google/gemini-2.5-flash|9445101b6bfa|false_label_2,200
evaluations-0c122ccb5bb9,evaluations,2026-05-09T19:12:07Z,google/gemini-2.5-flash,google/gemini-2.5-flash|999bb4623f49|none,200
evaluations-4c557a1539b8,evaluations,2026-05-09T19:12:09Z,google/gemini-2.5-flash,google/gemini-2.5-flash|999bb4623f49|true_label,200
evaluations-a087cdb60a35,evaluations,2026-05-09T19:12:11Z,google/gemini-2.5-flash,google/gemini-2.5-flash|999bb4623f49|false_label_1,200
evaluations-a746b48939c9,evaluations,2026-05-09T19:12:13Z,google/gemini-2.5-flash,google/gemini-2.5-flash|999bb4623f49|false_label_2,200
evaluations-80f26cf06c56,evaluations,2026-05-09T19:12:19Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|fadda31e192a|none,200
evaluations-5d4f381ae9b0,evaluations,2026-05-09T19:12:22Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|fadda31e192a|true_label,200
evaluations-b2c38cc6975a,evaluations,2026-05-09T19:12:28Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|fadda31e192a|false_label_1,200
evaluations-cbebfaf8b81a,evaluations,2026-05-09T19:12:32Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|fadda31e192a|false_label_2,200
evaluations-a5290e5e2e85,evaluations,2026-05-09T19:12:35Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|08910860621b|none,200
evaluations-0d79fb951b58,evaluations,2026-05-09T19:12:39Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|08910860621b|true_label,200
evaluations-e8bb0907a0f6,evaluations,2026-05-09T19:12:43Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|08910860621b|false_label_1,200
evaluations-9776bfb609ca,evaluations,2026-05-09T19:12:47Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|08910860621b|false_label_2,200
evaluations-d75dd736b90e,evaluations,2026-05-09T19:12:50Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|13f44e6d3f7b|none,200
evaluations-04fd6d2ff29f,evaluations,2026-05-09T19:12:56Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|13f44e6d3f7b|true_label,200
evaluations-e85556ed3982,evaluations,2026-05-09T19:13:00Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|13f44e6d3f7b|false_label_1,200
evaluations-9831895f2a2e,evaluations,2026-05-09T19:13:03Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|13f44e6d3f7b|false_label_2,200
evaluations-44f3f7a39f6b,evaluations,2026-05-09T19:13:06Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|63452cdd2871|none,200
evaluations-ab64beb389fe,evaluations,2026-05-09T19:13:10Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|63452cdd2871|true_label,200
evaluations-1ebb9564941d,evaluations,2026-05-09T19:13:13Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|63452cdd2871|false_label_1,200
evaluations-0fa9fea057b8,evaluations,2026-05-09T19:13:19Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|63452cdd2871|false_label_2,200
evaluations-c5d627e6354d,evaluations,2026-05-09T19:13:23Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|bbfbdedc6265|none,200
evaluations-3c90d645800c,evaluations,2026-05-09T19:13:26Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|bbfbdedc6265|true_label,200
evaluations-5626107d4e16,evaluations,2026-05-09T19:13:32Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|bbfbdedc6265|false_label_1,200
evaluations-9de0a806bbee,evaluations,2026-05-09T19:13:35Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|bbfbdedc6265|false_label_2,200
evaluations-6b416bbff8bb,evaluations,2026-05-09T19:13:40Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|0386505f0fc3|none,200
evaluations-12130e2a2f1b,evaluations,2026-05-09T19:13:45Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|0386505f0fc3|true_label,200
evaluations-fbb337ddd1c3,evaluations,2026-05-09T19:13:52Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|0386505f0fc3|false_label_1,200
evaluations-64d75652b8d7,evaluations,2026-05-09T19:13:55Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|0386505f0fc3|false_label_2,200
evaluations-eb826dfbb63d,evaluations,2026-05-09T19:14:01Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|81c69986e1dd|none,200
evaluations-757ff77aa95e,evaluations,2026-05-09T19:14:04Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|81c69986e1dd|true_label,200
evaluations-d29428998f69,evaluations,2026-05-09T19:14:08Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|81c69986e1dd|false_label_1,200
evaluations-b889f37d74c4,evaluations,2026-05-09T19:14:13Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|81c69986e1dd|false_label_2,200
evaluations-b2570268dea2,evaluations,2026-05-09T19:14:16Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|073bbb8db1ce|none,200
evaluations-bd25a3794e5e,evaluations,2026-05-09T19:14:19Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|073bbb8db1ce|true_label,200
evaluations-41b92c7c3c96,evaluations,2026-05-09T19:14:23Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|073bbb8db1ce|false_label_1,200
evaluations-156f3c65a25b,evaluations,2026-05-09T19:14:26Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|073bbb8db1ce|false_label_2,200
evaluations-70cfbc67c1fe,evaluations,2026-05-09T19:14:33Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|ba241b5822b4|none,200
evaluations-3d28f0e2ce1a,evaluations,2026-05-09T19:14:39Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|ba241b5822b4|true_label,200
evaluations-5eceacaef6a3,evaluations,2026-05-09T19:14:45Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|ba241b5822b4|false_label_1,200
evaluations-2880d4251753,evaluations,2026-05-09T19:14:51Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|ba241b5822b4|false_label_2,200
evaluations-a14164e03f97,evaluations,2026-05-09T19:14:54Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|627b8e7ddfdd|none,200
evaluations-c792139b80e0,evaluations,2026-05-09T19:14:58Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|627b8e7ddfdd|true_label,200
